,date,compID,Name(Rating),position,result,Partner,Opponent 1,Opponent 2,primary position,location,college,division,playerid,name,mu
0,2018-02-24,840,Abril Bustamante - USC (29.82),1,1,Terese Cannon - USC (29.82),Molly Turner - Grand Canyon (24.83),Katie Pyles - Grand Canyon (24.83),1,"Phoenix, AZ",USC,DI,28,Abril Bustamante,29.81789332226257
1,2018-02-24,843,Abril Bustamante - USC (32.61),1,1,Terese Cannon - USC (32.61),Mia Rivera - ASU (24.09),Kwyn Johnson - ASU (24.09),1,"Tempe, Az",USC,DI,28,Abril Bustamante,32.60991471619737
2,2018-02-25,857,Abril Bustamante - USC (34.52),1,1,Terese Cannon - USC (34.52),Lauren Stivrins - Nebraska (23.72),Kelly Hunter - Nebraska (22.6),1,"Tempe, Az",USC,DI,28,Abril Bustamante,34.51555969269016
3,2018-02-25,861,Abril Bustamante - USC (36.84),1,1,Terese Cannon - USC (36.84),Torrey Van Winden - Cal Poly SLO (28.14),Tia Miric - Cal Poly SLO (28.14),1,"Tempe, Az",USC,DI,28,Abril Bustamante,36.83744670763618
4,2018-02-28,878,Abril Bustamante - USC (34.44),1,0,Terese Cannon - USC (34.44),Megan McNamara - UCLA (37.06),Nicole McNamara - UCLA (37.06),1,"Los Angeles, CA",USC,DI,28,Abril Bustamante,34.4378072462826
5,2018-02-28,879,Abril Bustamante - USC (31.76),1,0,Terese Cannon - USC (31.76),Brook Bauer - Pepperdine (32.95),Madalyn Roh - Pepperdine (32.95),1,"Los Angeles, CA",USC,DI,28,Abril Bustamante,31.7577795103761
6,2018-03-03,924,Abril Bustamante - USC (35.58),1,1,Tina Graudina - USC (35.58),Brook Bauer - Pepperdine (31.29),Madalyn Roh - Pepperdine (31.29),1,"Malibu, CA",USC,DI,28,Abril Bustamante,35.57515612160845
7,2018-03-03,925,Abril Bustamante - USC (39.48),1,1,Terese Cannon - USC (39.48),Megan McNamara - UCLA (35.24),Nicole McNamara - UCLA (35.24),1,"Malibu, CA",USC,DI,28,Abril Bustamante,39.4847058902608
8,2018-03-10,1041,Abril Bustamante - USC (42.67),1,1,Tina Graudina - USC (42.67),Margherita Bianchin - FIU (37.41),Federica Frasca - FIU (37.41),1,"Manhattan Beach, Ca",USC,DI,28,Abril Bustamante,42.67319795720202
9,2018-03-10,1047,Abril Bustamante - USC (45.31),1,1,Tina Graudina - USC (45.31),Claire Coppola - LSU (39.6),Kristen Nuss - LSU (39.6),1,"Manhattan Beach, Ca",USC,DI,28,Abril Bustamante,45.30701522759093
10,2018-03-11,1076,Abril Bustamante - USC (46.64),1,1,Tina Graudina - USC (46.64),Jillian Bergeson - TCU (33.18),Jaelyn Greene - TCU (33.18),1,"Manhattan Beach, Ca",USC,DI,28,Abril Bustamante,46.63556754102347
11,2018-03-11,1080,Abril Bustamante - USC (48.29),1,1,Tina Graudina - USC (48.29),Victoria Paranagua - Florida State (38.83),Macy Jerger - Florida State (38.83),1,"Manhattan Beach, Ca",USC,DI,28,Abril Bustamante,48.293223494834514
12,2018-03-17,1146,Abril Bustamante - USC (49.54),1,1,Tina Graudina - USC (49.54),Molly Turner - Grand Canyon (33.44),Kelli Iverson - Grand Canyon (36.31),1,"Honolulu, Hi",USC,DI,28,Abril Bustamante,49.54268839985318
13,2018-03-17,1150,Abril Bustamante - USC (50.8),1,1,Tina Graudina - USC (50.8),Laurel Weaver - Hawaii (37.29),Carly Kan - Hawaii (37.29),1,"Honolulu, Hi",USC,DI,28,Abril Bustamante,50.802687386590094
14,2018-03-17,1166,Abril Bustamante - USC (51.96),1,1,Tina Graudina - USC (51.96),Annika Albrecht - Nebraska (37.68),Kenzie Maloney - Nebraska (31.64),1,"Honolulu, Hi",USC,DI,28,Abril Bustamante,51.9578798602857
15,2018-03-18,1194,Abril Bustamante - USC (50.22),1,0,Tina Graudina - USC (50.22),Emily Maglio - Hawaii (46.07),Ka'iwi Schucht - Hawaii (46.07),1,"Honolulu, Hi",USC,DI,28,Abril Bustamante,50.219867234441026
16,2018-03-18,1195,Abril Bustamante - USC (51.41),1,1,Tina Graudina - USC (51.41),Lauren Stivrins - Nebraska (36.16),Kelly Hunter - Nebraska (35.07),1,"Honolulu, Hi",USC,DI,28,Abril Bustamante,51.41153298837276
17,2018-03-24,1264,Abril Bustamante - USC (53.38),1,1,Tina Graudina - USC (53.38),Alexia Inman - Cal (46.5),Mima Mirkovic - Cal (46.5),1,"Ocean Park, Ca",USC,DI,28,Abril Bustamante,53.380523004921315
18,2018-03-24,1272,Abril Bustamante - USC (54.48),1,1,Tina Graudina - USC (54.48),Mia Rivera - ASU (31.55),Kwyn Johnson - ASU (29.73),1,"Ocean Park, Ca",USC,DI,28,Abril Bustamante,54.48332443733692
19,2018-03-25,1311,Abril Bustamante - USC (55.85),1,1,Tina Graudina - USC (55.85),Olivia Macdonald - Arizona (44.53),Natalie Anselmo - Arizona (44.53),1,"Ocean Park, Ca",USC,DI,28,Abril Bustamante,55.846623195486565
20,2018-03-25,1317,Abril Bustamante - USC (57.45),1,1,Tina Graudina - USC (57.45),Kathryn Plummer - Stanford (47.08),Sunny Villapando - Stanford (50.7),1,"Ocean Park, Ca",USC,DI,28,Abril Bustamante,57.451178815156425
21,2018-03-31,1419,Abril Bustamante - USC (58.61),1,1,Tina Graudina - USC (58.61),Morgan Hughes - Saint Mary's (42.86),Payton Rund - Saint Mary's (42.86),1,"Zuma Beach, Ca",USC,DI,28,Abril Bustamante,58.60700539465787
22,2018-03-31,1428,Abril Bustamante - USC (60.51),1,1,Tina Graudina - USC (60.51),Corinne Quiggle - Pepperdine (54.46),Deahna Kraft - Pepperdine (54.46),1,"Zuma Beach, Ca",USC,DI,28,Abril Bustamante,60.50753956697653
23,2018-03-31,1431,Abril Bustamante - USC (61.62),1,1,Tina Graudina - USC (61.62),Savannah Slattery - LMU (42.17),McKayla Ferris - LMU (42.84),1,"Zuma Beach, Ca",USC,DI,28,Abril Bustamante,61.61699905244026
24,2018-04-04,1466,Abril Bustamante - USC (64.06),1,1,Tina Graudina - USC (64.06),Megan McNamara - UCLA (61.31),Nicole McNamara - UCLA (61.31),1,"Los Angeles, Ca",USC,DI,28,Abril Bustamante,64.05652271502834
25,2018-04-10,1589,Abril Bustamante - USC (65.38),1,1,Tina Graudina - USC (65.38),Corinne Quiggle - Pepperdine (55.27),Deahna Kraft - Pepperdine (55.27),1,"Los Angeles, Ca",USC,DI,28,Abril Bustamante,65.3813278760369
26,2018-04-14,1630,Abril Bustamante - USC (66.52),1,1,Tina Graudina - USC (66.52),Kimmy Gardiner - Washington (51.28),Jordan Anderson - Washington (51.28),1,"Seattle, Wa",USC,DI,28,Abril Bustamante,66.52249962598732
27,2018-04-14,1631,Abril Bustamante - USC (67.63),1,1,Tina Graudina - USC (67.63),Amelia Smith - Stanford (50.06),Morgan Hentz - Stanford (50.06),1,"Seattle, Wa",USC,DI,28,Abril Bustamante,67.63474615442912
28,2018-04-15,1667,Abril Bustamante - USC (68.77),1,1,Tina Graudina - USC (68.77),Alexia Inman - Cal (53.97),Mima Mirkovic - Cal (53.97),1,"Seattle, Wa",USC,DI,28,Abril Bustamante,68.77284679289642
