,division,rank,name,rating,playerid,college,primary position,date
0,DI,1,Abril Bustamante,80.52137010890476,28,USC,1,2018-05-05
1,DI,2,Megan McNamara,78.41152530742905,1,UCLA,1,2018-05-06
2,DI,3,Nicole McNamara,78.41152530742905,2,UCLA,1,2018-05-06
3,DI,4,Tina Graudina,76.58993781048605,1056,USC,1,2018-05-05
4,DI,5,Victoria Paranagua,74.57858954878873,16,Florida State,1,2018-05-05
5,DI,6,Ka'iwi Schucht,73.03647959182926,754,Hawaii,1,2018-05-06
6,DI,7,Emily Maglio,73.03647959182926,764,Hawaii,1,2018-05-06
7,DI,8,Claire Coppola,70.33112722049479,103,LSU,1,2018-05-05
8,DI,9,Kristen Nuss,70.33112722049479,102,LSU,1,2018-05-05
9,DI,10,Sasha Karelov,68.75480144736002,71,Long Beach State,1,2018-04-28
10,DI,11,Vanessa Freire,68.35670138899013,13,Florida State,1,2018-05-05
11,DI,12,Sarah Sponcil,67.55157348924236,247,UCLA,2,2018-05-06
12,DI,13,Sunny Villapando,67.10607371910235,1212,Stanford,1,2018-04-27
13,DI,14,Nele Barber,66.95222890933816,65,Long Beach State,1,2018-04-28
14,DI,15,Corinne Quiggle,66.92459656113834,209,Pepperdine,2,2018-05-05
15,DI,16,Kaylie Mchugh,66.76305806100889,33,Tulane,1,2018-04-21
16,DI,17,Madeline Mertz,66.76305806100889,35,Tulane,1,2018-04-21
17,DI,18,Katie Horton,65.88983527807807,17,Florida State,2,2018-05-06
18,DI,19,Lily Justine,65.55157348924239,9,UCLA,2,2018-05-06
19,DI,20,Federica Frasca,65.1599804817992,293,FIU,1,2018-05-04
20,DI,21,Hailey Luke,64.93540200042355,743,Florida State,2,2018-05-06
21,DI,22,Deahna Kraft,64.92459656113837,219,Pepperdine,2,2018-05-05
22,DI,23,Morgan Martin,64.90354432578272,763,Hawaii,2,2018-05-06
23,DI,24,Katie Smith,64.48941738750763,116,South Carolina,2,2018-05-04
