,name,last_season_end_rating,new_season_start_rating
0,Abril Bustamante,92.4303500391538,28.0
1,Nicole McNamara,86.1135562147035,27.0
2,Megan McNamara,86.1135562147035,27.0
3,Tina Graudina,85.52833489294359,27.0
4,Victoria Paranagua,84.86993899988808,27.0
5,Ka'iwi Schucht,84.23751527416164,27.0
6,Emily Maglio,84.23751527416164,27.0
7,Kristen Nuss,81.19130389005646,27.0
8,Claire Coppola,81.19130389005646,27.0
9,Sasha Karelov,79.92898851148391,27.0
10,Vanessa Freire,77.78122536838717,27.0
11,Nele Barber,77.42271663171068,27.0
12,Kaylie Mchugh,77.35382247810593,27.0
13,Madeline Mertz,77.35382247810593,27.0
14,Sarah Sponcil,76.8066100133845,27.0
15,Corinne Quiggle,76.54549164430772,27.0
16,Sunny Villapando,76.49140793636484,27.0
17,Katie Smith,76.296541124782,27.0
18,Lily Justine,74.80661001338449,27.0
19,Morgan Martin,74.69453990845882,27.0
20,Deahna Kraft,74.54549164430763,27.0
21,Katie Horton,74.50166622863102,27.0
22,Rachel Nieto,73.64232858049635,27.0
23,Teegan Van Gunst,73.62427063612556,27.0
24,Lea Monkhouse,73.49306234902711,27.0
25,Sammy Slater,73.32221359107479,27.0
26,Hailey Luke,73.23522095837858,27.0
27,Federica Frasca,73.18867624886937,27.0
28,Margherita Bianchin,73.18867624886937,27.0
29,Mima Mirkovic,72.61630147566557,27.0
30,Madalyn Roh,72.54550764576052,27.0
31,Annika Van Gunst,72.47881432554969,27.0
32,Aeriel Horton,72.29232420518505,27.0
33,Jessica Wooten,72.29232420518505,27.0
34,Terese Cannon,71.36208943240604,25.0
35,Brook Bauer,70.54550764576047,25.0
36,Adore Anae,70.49092447978734,25.0
37,Dani Barton,70.49092447978734,25.0
38,Alexia Inman,69.6715325910978,25.0
39,Torrey Van Winden,69.58768288323243,25.0
40,Tia Miric,69.58768288323243,25.0
41,Emily Sonny,69.55877585218228,25.0
42,Ali Denney,68.69760192967698,25.0
43,Shannon Williams,68.69760192967698,25.0
44,Olivia Macdonald,68.12457246604,25.0
45,Natalie Anselmo,68.12457246603995,25.0
46,Payton Rund,68.04029850962506,25.0
47,Carly Kan,67.45321674494866,25.0
48,Kimmy Gardiner,67.24756224141518,25.0
49,Jordan Anderson,67.24756224141518,25.0
50,Sammee Thomas,66.65841147862814,25.0
51,Darby Dunn,66.65841147862814,25.0
52,Sam Manley,66.39431837102529,25.0
53,Jessica Gaffney,66.31432645354683,25.0
54,Laurel Weaver,66.05063283058175,25.0
55,Morgan Hughes,66.04029850962509,25.0
56,Savannah Slattery,65.52604585851648,25.0
57,Cadie Bates,65.47804086127739,25.0
58,Morgan Hentz,65.09141520123435,25.0
59,Amelia Smith,65.09141520123435,25.0
60,Haleigh Nelson,64.891249094159,25.0
61,Megan Kruidhof,64.88177397818546,25.0
62,Courtney Schwan,64.87364355726757,25.0
63,Destiny Julye,64.52322012858274,25.0
64,Sara Putt,64.4778598631755,25.0
65,Nicole Lott,64.45942269739646,25.0
66,Maddy Kline,64.45942269739646,25.0
67,Tiffany Creamer,64.26158258643508,25.0
68,McKayla Ferris,64.04696157268724,25.0
69,Devon May,63.99080361095125,25.0
70,Hannah Towne,63.654175532655216,25.0
71,Brooke Weiner,63.43076248748205,25.0
72,Courtney Bowen,63.36739584086014,25.0
73,Molly Turner,63.30196506165988,25.0
74,Kenley Adams,63.2936402479887,25.0
75,Iya Lindahl,63.229312020717735,25.0
76,Cassie House,63.097568232272764,25.0
77,Haven Hill,63.097568232272764,25.0
78,Haley Hallgren,63.04921108123021,25.0
79,Macy Jerger,62.805703327459476,25.0
80,Lindsey Knudsen,62.323854662591565,25.0
81,Sara Kovac,62.06075497489773,25.0
82,Jessie Prichard,61.941929170872505,25.0
83,Taylor Nelson,61.790176299202884,25.0
84,Carly Perales,61.407238288197014,25.0
85,Sunniva Helland-Hansen,61.40723828819691,25.0
86,Savvy Simo,60.7831720607993,25.0
87,Emily Bible,60.32385466259157,25.0
88,Amanda Silva,60.28755320258038,25.0
89,Carly Scarborough,59.95367029325593,25.0
90,Tarin Mergener,59.296611752229516,25.0
91,Hunter Domanski,59.22384771378158,25.0
92,Lan Nguyen,58.993169820946676,25.0
93,Janell Walley,58.69650786935412,25.0
94,Sabryn Roberts,58.69650786935409,25.0
95,Jessalyn Kinlaw,58.54095803828602,25.0
96,Carly Dehoog,58.163121648609,25.0
97,Shayne Mcpherson,58.163121648609,25.0
98,Hayley Tippett,58.043331498527635,25.0
99,Megan Nash,58.043331498527635,25.0
100,Katja Ehlers,57.683391511553175,25.0
101,Carina Hoff,57.42322170212868,25.0
102,Courtney Miller,57.42322170212868,25.0
103,Gigi Hernandez,57.34980942173935,25.0
104,Heidi Dyer,57.34980942173935,25.0
105,Georgia Johnson,57.17733968243709,25.0
106,Karissa Rhoades,57.00053816411256,25.0
107,Amy Ozee,56.86327292319295,25.0
108,Ari Homayun,56.86327292319292,25.0
109,Lina Bernier,56.8448572828708,25.0
110,Dorina Klinger,56.715658745775514,25.0
111,Elise Zappia,56.713578045684926,25.0
112,Olivia Stasevich,56.661156305259645,25.0
113,Zana Muno,56.60310313861558,25.0
114,Gabrielle Dischler,56.540958038286014,25.0
115,Adlee Van Winden,56.13297393471036,25.0
116,Devon Rachel,55.944825653029454,25.0
117,Mackenzie Allen,55.8653274016391,25.0
118,Amanda Carroll,55.8653274016391,25.0
119,Chaney Howard,55.79539542260765,25.0
120,Taryn Griffey,55.79539542260765,25.0
121,Hailey Harward,55.78481424027658,25.0
122,Krissy Mummey,55.70220138508245,25.0
123,Mandi Orellana,55.62150574601588,25.0
124,Erika Zembyla,55.3245122000745,25.0
125,Kate Formico,55.1913651060542,25.0
126,Tori Hinojosa,55.141501100422396,25.0
127,Kayla Armer,55.141501100422396,25.0
128,Katie Sato,54.627863003027365,25.0
129,Aeryn Owens,54.627863003027336,25.0
130,Mia Rivera,54.37353438089524,25.0
131,Mckala Rhodes,54.20868922270301,25.0
132,Joy Dennis,53.882096388662845,25.0
133,Kacey Nady,53.83556159808068,25.0
134,Kristyna Adamcikova,53.68110437757827,25.0
135,Carly Schneider,53.66763463975989,25.0
136,Skylar Caputo,53.590776938752356,25.0
137,Alexis Filippone,53.590776938752335,25.0
138,Jillian Bergeson,53.3921876931025,25.0
139,Jaelyn Greene,53.3921876931025,25.0
140,Desiree Sukhov,53.05867649794704,25.0
141,Melissa Powell,53.00141745864033,25.0
142,Erica Brok,52.933661375501266,25.0
143,Victoria Corcoran,52.91625274621025,25.0
144,Rachel Kuhn,52.88039335323254,25.0
145,Hailey Devlin,52.6151991317283,25.0
146,Francesca Goncalves,52.53748142991324,25.0
