,date,compID,location,playerid,position,primary position,college,division,result,mu,sigma
0,2018-02-23,800,"Deland, FL",467,1,2,Georgia State,DI,0,22.991677369701627,7.7743633497703355
1,2018-02-23,802,"Deland, FL",467,1,2,Georgia State,DI,0,21.770706829452703,7.334535590826279
2,2018-02-24,824,"Deland, FL",467,2,2,Georgia State,DI,0,21.056403295937386,6.9837500268607755
3,2018-03-03,935,"St. Augustine, Fl",467,2,2,Georgia State,DI,1,24.77440595345286,6.595903841687007
4,2018-03-03,936,"St. Augustine, FL",467,2,2,Georgia State,DI,1,27.581074777193788,6.241079674091905
5,2018-03-04,968,"St. Augustine, Fl",467,2,2,Georgia State,DI,1,29.200799843434737,6.062153925688513
6,2018-03-04,969,"St. Augustine, Fl",467,2,2,Georgia State,DI,1,32.682992644106385,5.717465867725995
7,2018-03-06,994,"Atlanta, Ga",467,2,2,Georgia State,DI,1,34.03472081887506,5.591590446669696
8,2018-03-06,995,"Atlanta, Ga",467,2,2,Georgia State,DI,1,35.03387680282738,5.553013581862401
9,2018-03-10,1044,"Boca Raton, FL",467,2,2,Georgia State,DI,1,36.210226991082656,5.476473946448595
10,2018-03-10,1051,"Boca Raton, FL",467,2,2,Georgia State,DI,0,34.83721698949636,5.176312929413207
11,2018-03-10,1052,"Boca Raton, FL",467,2,2,Georgia State,DI,1,37.299106514023386,4.929470732142702
12,2018-03-17,1144,"Columbia, SC",467,2,2,Georgia State,DI,1,38.65702318534511,4.80853878938878
13,2018-03-17,1149,"Columbia, SC",467,2,2,Georgia State,DI,0,37.54900163638737,4.575953055109153
14,2018-03-18,1191,"Columbia, S.C.",467,2,2,Georgia State,DI,0,38.322270395041954,4.531437794799896
15,2018-03-18,1202,"Columbia, S.C.",467,2,2,Georgia State,DI,1,39.272940591671386,4.513120816400688
16,2018-03-23,1228,"Atlanta, GA",467,2,2,Georgia State,DI,1,40.29848431863069,4.478012841874329
17,2018-03-23,1233,"Atlanta, Ga",467,2,2,Georgia State,DI,1,41.28387125858135,4.449376923227079
18,2018-03-24,1268,"Atlanta, Ga",467,2,2,Georgia State,DI,1,43.07547216399719,4.293477429722521
19,2018-03-24,1270,"Atlanta, Ga",467,2,2,Georgia State,DI,1,44.01107320973147,4.280008381024034
20,2018-03-30,1359,"Miami, Fl",467,2,2,Georgia State,DI,1,45.319565933267995,4.179602818660464
21,2018-03-30,1382,"Miami, Fl",467,2,2,Georgia State,DI,1,46.50746571759122,4.102491535504794
22,2018-03-31,1422,"Miami, Fl",467,2,2,Georgia State,DI,0,42.893197085834466,3.8687021471389444
23,2018-03-31,1442,"Miami, Fl",467,2,2,Georgia State,DI,0,40.56454553222944,3.7137615766628724
24,2018-04-06,1472,"Tallahassee, Fl",467,2,2,Georgia State,DI,1,42.36362976057225,3.585670709202606
25,2018-04-06,1480,"Tallahassee, Fl",467,2,2,Georgia State,DI,1,43.485055958960146,3.536241118518525
26,2018-04-07,1502,"Tallahassee, Fl",467,2,2,Georgia State,DI,1,44.452991702350246,3.5150035350104916
27,2018-04-14,1654,"Baton Rouge, La",467,2,2,Georgia State,DI,0,45.08761633498787,3.4572984025156672
28,2018-04-14,1658,"Baton Rouge, La",467,2,2,Georgia State,DI,1,46.69112029608361,3.360372650296121
29,2018-04-15,1675,"Baton Rouge, La",467,2,2,Georgia State,DI,1,48.04825373024548,3.2813925768827636
30,2018-04-15,1683,"Baton Rouge, La",467,2,2,Georgia State,DI,1,49.05584033915426,3.256132369358464
31,2018-04-20,1717,"Emerson, Ga",467,2,2,Georgia State,DI,1,50.45516716334671,3.1804585029189036
32,2018-04-20,1727,"Emerson, Ga",467,2,2,Georgia State,DI,1,51.80147569079738,3.1093989688889274
33,2018-04-21,1773,"Emerson, Ga",467,2,2,Georgia State,DI,0,52.503335278085125,3.0693540937386143
34,2018-04-21,1794,"Emerson, Ga",467,2,2,Georgia State,DI,1,53.41247411276566,3.0668911252466677
35,2018-02-23,800,"Deland, FL",405,1,2,Georgia State,DI,0,22.991677369701627,7.7743633497703355
36,2018-02-23,802,"Deland, FL",405,1,2,Georgia State,DI,0,21.770706829452703,7.334535590826279
