,rank,name,college,division,rating,primary position,date
0,1,Abril Bustamante,USC,DI,121.62960010325891,1,2018-05-05
1,2,Megan McNamara,UCLA,DI,111.93451567376992,1,2018-05-06
2,3,Nicole McNamara,UCLA,DI,111.9345156737699,1,2018-05-06
3,4,Emily Maglio,Hawaii,DI,110.71264872654656,1,2018-05-06
4,5,Ka'iwi Schucht,Hawaii,DI,110.71264872654656,1,2018-05-06
5,6,Tina Graudina,USC,DI,109.46096046553662,1,2018-05-05
6,7,Victoria Paranagua,Florida State,DI,109.23945779725383,1,2018-05-05
7,8,Claire Coppola,LSU,DI,106.0656305834197,1,2018-05-04
8,9,Kristen Nuss,LSU,DI,106.0656305834197,1,2018-05-04
9,10,Vanessa Freire,Florida State,DI,103.0715734040488,1,2018-05-05
10,11,Nele Barber,Long Beach State,DI,101.7132680945591,1,2018-04-28
11,12,Sasha Karelov,Long Beach State,DI,101.20685446663484,1,2018-04-28
12,13,Madeline Mertz,Tulane,DI,100.60365159270772,1,2018-04-21
13,14,Kaylie Mchugh,Tulane,DI,100.60365159270772,1,2018-04-21
14,15,Teegan Van Gunst,Georgia State,DI,98.16967857601533,1,2018-04-21
15,16,Katie Smith,South Carolina,DI,97.12561610952662,2,2018-05-04
16,17,Sunny Villapando,Stanford,DI,96.19444294954711,1,2018-04-27
17,18,Corinne Quiggle,Pepperdine,DI,96.06182449562988,2,2018-05-05
18,19,Margherita Bianchin,FIU,DI,94.69164082566273,1,2018-05-04
19,20,Federica Frasca,FIU,DI,94.69164082566273,1,2018-05-04
20,21,Mima Mirkovic,Cal,DI,94.56722713591547,1,2018-04-28
21,22,Deahna Kraft,Pepperdine,DI,94.06182449562976,2,2018-05-05
22,23,Annika Van Gunst,Georgia State,DI,93.92590510906538,1,2018-04-21
23,24,Jessica Wooten,Houston Baptist,DI,93.69913981205205,1,2018-04-22
24,25,Aeriel Horton,Houston Baptist,DI,93.69913981205205,1,2018-04-22
25,26,Rachel Nieto,Long Beach State,DI,92.8402078058456,2,2018-04-28
26,27,Sarah Sponcil,UCLA,DI,92.8329690390361,2,2018-05-06
27,28,Morgan Martin,Hawaii,DI,91.23628663601419,2,2018-05-06
28,29,Adore Anae,Utah,DI,91.01437350601019,1,2018-04-27
29,30,Dani Barton,Utah,DI,91.01437350601019,1,2018-04-27
30,31,Lily Justine,UCLA,DI,90.83296903903603,2,2018-05-06
31,32,Katie Horton,Florida State,DI,89.73363133038124,2,2018-05-05
32,33,Lea Monkhouse,Hawaii,DI,89.5743383374621,2,2018-05-06
33,34,Torrey Van Winden,Cal Poly SLO,DI,89.33692514629959,1,2018-04-28
34,35,Tia Miric,Cal Poly SLO,DI,89.33692514629956,1,2018-04-28
35,36,Terese Cannon,USC,DI,89.32568881173844,2,2018-05-05
36,37,Sammy Slater,USC,DI,89.1090126407338,2,2018-05-05
37,38,Madalyn Roh,Pepperdine,DI,88.97485614711485,1,2018-05-05
38,39,Alexia Inman,Cal,DI,88.55871479478253,1,2018-04-28
39,40,Hailey Luke,Florida State,DI,87.98427655590997,2,2018-05-05
40,41,Natalie Anselmo,Arizona,DI,87.81340034530332,1,2018-04-27
41,42,Olivia Macdonald,Arizona,DI,87.81340034530332,1,2018-04-27
42,43,Shannon Williams,South Carolina,DI,87.580959277346,1,2018-05-04
43,44,Ali Denney,South Carolina,DI,87.58095927734597,1,2018-05-04
44,45,Payton Rund,Saint Mary's,DI,87.12049527623726,1,2018-04-21
45,46,Brook Bauer,Pepperdine,DI,86.97485614711482,1,2018-05-05
46,47,Kimmy Gardiner,Washington,DI,86.44360027695048,1,2018-04-28
47,48,Jordan Anderson,Washington,DI,86.44360027695048,1,2018-04-28
48,49,Morgan Hughes,Saint Mary's,DI,85.12049527623721,1,2018-04-21
49,50,Darby Dunn,Stetson,DI,84.94074779994698,1,2018-04-21
50,51,Sammee Thomas,Stetson,DI,84.94074779994692,1,2018-04-21
51,52,Savannah Slattery,LMU,DI,84.91197798330855,1,2018-04-21
52,53,Emily Sonny,Cal Poly SLO,DI,84.74500605313212,2,2018-04-28
53,54,Cadie Bates,South Carolina,DI,84.39710121452912,2,2018-05-04
54,55,Nicole Lott,UNC Wilmington,DI,84.22898858510732,1,2018-04-21
55,56,Maddy Kline,UNC Wilmington,DI,84.22898858510732,1,2018-04-21
56,57,Jessica Gaffney,Cal,DI,83.73899888720983,2,2018-04-28
57,58,Molly Turner,Grand Canyon,DI,83.25398928095501,1,2018-04-19
58,59,McKayla Ferris,LMU,DI,82.5498702134164,1,2018-04-21
59,60,Haleigh Nelson,LSU,DI,82.43697493869145,2,2018-05-04
60,61,Carly Kan,Hawaii,DI,82.33431229340661,3,2018-05-06
61,62,Cassie House,TCU,DI,82.2734955432086,1,2018-04-15
62,63,Haven Hill,TCU,DI,82.2734955432086,1,2018-04-15
63,64,Devon May,UAB,DI,82.15119922600121,1,2018-04-21
64,65,Kenley Adams,UAB,DI,82.13149674336006,1,2018-04-21
65,66,Amelia Smith,Stanford,DI,81.84624752422512,2,2018-04-27
66,67,Morgan Hentz,Stanford,DI,81.84624752422509,2,2018-04-27
67,68,Sam Manley,Cal Poly SLO,DI,81.09661203044047,2,2018-04-28
68,69,Courtney Schwan,Washington,DI,80.7202201772641,2,2018-04-28
69,70,Destiny Julye,Washington,DI,80.56740610647104,2,2018-04-28
70,71,Laurel Weaver,Hawaii,DI,80.48711085079884,3,2018-05-06
71,72,Hannah Towne,Grand Canyon,DI,80.00121272885812,1,2018-04-19
72,73,Tiffany Creamer,Georgia State,DI,79.95615124991329,2,2018-04-21
73,74,Sara Putt,Florida State,DI,79.00682252945566,3,2018-05-05
74,75,Carly Scarborough,FAU,DI,78.83111800272796,1,2018-04-21
75,76,Megan Kruidhof,Long Beach State,DI,77.23560161945902,2,2018-04-28
76,77,Iya Lindahl,Cal,DI,77.14089093006814,2,2018-04-28
77,78,Lindsey Knudsen,Saint Mary's,DI,76.77210613826257,2,2018-04-21
78,79,Courtney Bowen,Stanford,DI,76.58921119723622,3,2018-04-27
79,80,Jessie Prichard,LMU,DI,76.51678547280257,2,2018-04-21
80,81,Macy Jerger,Florida State,DI,76.03146228193188,3,2018-05-05
81,82,Sara Kovac,LMU,DI,75.81011176690943,2,2018-04-21
82,83,Brooke Weiner,Georgia State,DI,75.78489098854878,2,2018-04-21
