division,compID,location,date,college,first_name,last_name,position,result,score
DII,722,"Irvine, Ca",2/1/17,Concordia,Kyra,Auten,1,1,"21-13, 10-21, 15-5"
DII,722,"Irvine, Ca",2/1/17,Concordia,Tristan,Self,1,1,"21-13, 10-21, 15-5"
DII,722,"Irvine, Ca",2/1/17,CSULA,Lauren,Gomez,1,0,"21-13, 10-21, 15-5"
DII,722,"Irvine, Ca",2/1/17,CSULA,Iona,Lofrano,1,0,"21-13, 10-21, 15-5"
DII,722,"Irvine, Ca",2/1/17,Concordia,Kaila,Ames,2,1,"21-9, 21-9"
DII,722,"Irvine, Ca",2/1/17,Concordia,Asia,O'Neil,2,1,"21-9, 21-9"
DII,722,"Irvine, Ca",2/1/17,CSULA,Jamieann,Bero,2,0,"21-9, 21-9"
DII,722,"Irvine, Ca",2/1/17,CSULA,Cynthia,Giron,2,0,"21-9, 21-9"
DII,722,"Irvine, Ca",2/1/17,Concordia,Madeline ,Deters,3,1,"19-21, 21-19, 15-10"
DII,722,"Irvine, Ca",2/1/17,Concordia,Cindy,Tran,3,1,"19-21, 21-19, 15-10"
DII,722,"Irvine, Ca",2/1/17,CSULA,Alma,Serna,3,0,"19-21, 21-19, 15-10"
DII,722,"Irvine, Ca",2/1/17,CSULA,Kelsey,Molnar,3,0,"19-21, 21-19, 15-10"
DII,722,"Irvine, Ca",2/1/17,Concordia,Logan,Grove,4,1,"21-13, 21-10"
DII,722,"Irvine, Ca",2/1/17,Concordia,Amber,Rose,4,1,"21-13, 21-10"
DII,722,"Irvine, Ca",2/1/17,CSULA,Yamani,Wallace,4,0,"21-13, 21-10"
DII,722,"Irvine, Ca",2/1/17,CSULA,Taylor,Kushner,4,0,"21-13, 21-10"
DII,722,"Irvine, Ca",2/1/17,Concordia,Maile,Lane,5,1,"21-14, 22-20"
DII,722,"Irvine, Ca",2/1/17,Concordia,Katie,Napier,5,1,"21-14, 22-20"
DII,722,"Irvine, Ca",2/1/17,CSULA,Sifa,Faaiu,5,0,"21-14, 22-20"
DII,722,"Irvine, Ca",2/1/17,CSULA,Caitlyn,Bato,5,0,"21-14, 22-20"
NAIA,788,"Babson Park, Fl",2/23/17,Warner,Adrienne,Czaplewski,1,1,"21-19, 21-18"
NAIA,788,"Babson Park, Fl",2/23/17,Warner,Thalia,Mendez,1,1,"21-19, 21-18"
NAIA,788,"Babson Park, Fl",2/23/17,Webber,Alexandra,Spadaro,1,0,"21-19, 21-18"
NAIA,788,"Babson Park, Fl",2/23/17,Webber,Nikki,McDaniel,1,0,"21-19, 21-18"
NAIA,788,"Babson Park, Fl",2/23/17,Warner,Angie,Pagan-Perez,2,0,"21-10, 21-15"
NAIA,788,"Babson Park, Fl",2/23/17,Warner,Cat,Lind,2,0,"21-10, 21-15"
NAIA,788,"Babson Park, Fl",2/23/17,Webber,Tessa,Colden,2,1,"21-10, 21-15"
NAIA,788,"Babson Park, Fl",2/23/17,Webber,Carlee,Baxter,2,1,"21-10, 21-15"
NAIA,788,"Babson Park, Fl",2/23/17,Warner,Breighly,Bolton,3,0,"21-19, 21-13"
NAIA,788,"Babson Park, Fl",2/23/17,Warner,Kaitlyn ,Hippchen,3,0,"21-19, 21-13"
NAIA,788,"Babson Park, Fl",2/23/17,Webber,Brianna,Baez,3,1,"21-19, 21-13"
NAIA,788,"Babson Park, Fl",2/23/17,Webber,Amber,Lake,3,1,"21-19, 21-13"
NAIA,788,"Babson Park, Fl",2/23/17,Warner,Raygen,Lee,4,0,"21-5, 21-8"
NAIA,788,"Babson Park, Fl",2/23/17,Warner,Vanessa,Boitnott,4,0,"21-5, 21-8"
NAIA,788,"Babson Park, Fl",2/23/17,Webber,Hannah,Tannone,4,1,"21-5, 21-8"
NAIA,788,"Babson Park, Fl",2/23/17,Webber,Michelle,Calderon,4,1,"21-5, 21-8"
NAIA,788,"Babson Park, Fl",2/23/17,Warner,Ivelisse,Saint-Clair,5,0,"21-12, 21-19"
NAIA,788,"Babson Park, Fl",2/23/17,Warner,Ashley,Kube,5,0,"21-12, 21-19"
NAIA,788,"Babson Park, Fl",2/23/17,Webber,Katie,Schueman,5,1,"21-12, 21-19"
NAIA,788,"Babson Park, Fl",2/23/17,Webber,Kaxandra,Naranjo,5,1,"21-12, 21-19"
DI,9,"Pismo Beach, CA",3/2/17,Cal State Bakersfield,Carol,Grasso,1,0,"21-13, 21-9"
DI,9,"Pismo Beach, CA",3/2/17,Cal State Bakersfield,Sara,Little,1,0,"21-13, 21-9"
DI,9,"Pismo Beach, CA",3/2/17,UCLA,Nicole,McNamara,1,1,"21-13, 21-9"
DI,9,"Pismo Beach, CA",3/2/17,UCLA,Megan,McNamara,1,1,"21-13, 21-9"
DI,9,"Pismo Beach, CA",3/2/17,Cal State Bakersfield,Jocelyn,Rodriguez,2,0,"21-6, 21-13"
DI,9,"Pismo Beach, CA",3/2/17,Cal State Bakersfield,Ashley,Prater,2,0,"21-6, 21-13"
DI,9,"Pismo Beach, CA",3/2/17,UCLA,Kamila,Tan,2,1,"21-6, 21-13"
DI,9,"Pismo Beach, CA",3/2/17,UCLA,Madi,Yeomans,2,1,"21-6, 21-13"
DI,9,"Pismo Beach, CA",3/2/17,Cal State Bakersfield,Mattison,Degarmo,3,0,"21-9, 21-6"
DI,9,"Pismo Beach, CA",3/2/17,Cal State Bakersfield,Sarah,Garrow,3,0,"21-9, 21-6"
DI,9,"Pismo Beach, CA",3/2/17,UCLA,Savvy,Simo,3,1,"21-9, 21-6"
DI,9,"Pismo Beach, CA",3/2/17,UCLA,Torrey,Van Winden,3,1,"21-9, 21-6"
DI,9,"Pismo Beach, CA",3/2/17,Cal State Bakersfield,Hannah,Manzanares,4,0,"21-8, 21-5"
DI,9,"Pismo Beach, CA",3/2/17,Cal State Bakersfield,Madi,Busler,4,0,"21-8, 21-5"
DI,9,"Pismo Beach, CA",3/2/17,UCLA,Elise,Zappia,4,1,"21-8, 21-5"
DI,9,"Pismo Beach, CA",3/2/17,UCLA,Izzy,Carey,4,1,"21-8, 21-5"
DI,9,"Pismo Beach, CA",3/2/17,Cal State Bakersfield,Ally ,Barber ,5,0,"21-10, 21-19"
DI,9,"Pismo Beach, CA",3/2/17,Cal State Bakersfield,Kayla,Tinker,5,0,"21-10, 21-19"
DI,9,"Pismo Beach, CA",3/2/17,UCLA,Chanti,Holroyd,5,1,"21-10, 21-19"
DI,9,"Pismo Beach, CA",3/2/17,UCLA,Lily,Justine,5,1,"21-10, 21-19"
DI,11,"Pismo Beach, CA",3/2/17,Cal Poly SLO,Emily,Sonny,1,0,"21-15, 21-11"
DI,11,"Pismo Beach, CA",3/2/17,Cal Poly SLO,Hannah,Hubbard,1,0,"21-15, 21-11"
DI,11,"Pismo Beach, CA",3/2/17,UCLA,Nicole,McNamara,1,1,"21-15, 21-11"
DI,11,"Pismo Beach, CA",3/2/17,UCLA,Megan,McNamara,1,1,"21-15, 21-11"
DI,11,"Pismo Beach, CA",3/2/17,Cal Poly SLO,Taylor,Nelson,2,0,"21-16, 21-15"
DI,11,"Pismo Beach, CA",3/2/17,Cal Poly SLO,Adlee,Van Winden,2,0,"21-16, 21-15"
DI,11,"Pismo Beach, CA",3/2/17,UCLA,Kamila,Tan,2,1,"21-16, 21-15"
DI,11,"Pismo Beach, CA",3/2/17,UCLA,Madi,Yeomans,2,1,"21-16, 21-15"
DI,11,"Pismo Beach, CA",3/2/17,Cal Poly SLO,Raeann,Greisen,3,0,"21-19, 21-13"
DI,11,"Pismo Beach, CA",3/2/17,Cal Poly SLO,Heather,Pembroke,3,0,"21-19, 21-13"
DI,11,"Pismo Beach, CA",3/2/17,UCLA,Savvy,Simo,3,1,"21-19, 21-13"
DI,11,"Pismo Beach, CA",3/2/17,UCLA,Torrey,Van Winden,3,1,"21-19, 21-13"
DI,11,"Pismo Beach, CA",3/2/17,Cal Poly SLO,Savannah,Niemen,4,0,"21-19, 21-13"
DI,11,"Pismo Beach, CA",3/2/17,Cal Poly SLO,Anna ,Gorman,4,0,"21-19, 21-13"
DI,11,"Pismo Beach, CA",3/2/17,UCLA,Elise,Zappia,4,1,"21-19, 21-13"
DI,11,"Pismo Beach, CA",3/2/17,UCLA,Izzy,Carey,4,1,"21-19, 21-13"
DI,11,"Pismo Beach, CA",3/2/17,Cal Poly SLO,Brayden,Gruenewald,5,1,"21-19, 21-19"
DI,11,"Pismo Beach, CA",3/2/17,Cal Poly SLO,Taylor,Gruenewald,5,1,"21-19, 21-19"
DI,11,"Pismo Beach, CA",3/2/17,UCLA,Chanti,Holroyd,5,0,"21-19, 21-19"
DI,11,"Pismo Beach, CA",3/2/17,UCLA,Lily,Justine,5,0,"21-19, 21-19"
DI,435,"Pismo Beach, CA",3/2/17,Cal Poly SLO,Hannah,Hubbard,1,0,"21-17, 17-21, 15-9"
DI,435,"Pismo Beach, CA",3/2/17,Cal Poly SLO,Emily,Sonny,1,0,"21-17, 17-21, 15-9"
DI,435,"Pismo Beach, CA",3/2/17,Cal State Bakersfield,Carol,Grasso,1,1,"21-17, 17-21, 15-9"
DI,435,"Pismo Beach, CA",3/2/17,Cal State Bakersfield,Sara,Little,1,1,"21-17, 17-21, 15-9"
DI,435,"Pismo Beach, CA",3/2/17,Cal Poly SLO,Adlee,Van Winden,2,1,"21-11, 21-12"
DI,435,"Pismo Beach, CA",3/2/17,Cal Poly SLO,Taylor,Nelson,2,1,"21-11, 21-12"
DI,435,"Pismo Beach, CA",3/2/17,Cal State Bakersfield,Jocelyn,Rodriguez,2,0,"21-11, 21-12"
DI,435,"Pismo Beach, CA",3/2/17,Cal State Bakersfield,Ashley,Prater,2,0,"21-11, 21-12"
DI,435,"Pismo Beach, CA",3/2/17,Cal Poly SLO,Heather,Pembroke,3,1,"21-8, 21-11"
DI,435,"Pismo Beach, CA",3/2/17,Cal Poly SLO,Raeann,Greisen,3,1,"21-8, 21-11"
DI,435,"Pismo Beach, CA",3/2/17,Cal State Bakersfield,Mattison,Degarmo,3,0,"21-8, 21-11"
DI,435,"Pismo Beach, CA",3/2/17,Cal State Bakersfield,Sarah,Garrow,3,0,"21-8, 21-11"
DI,435,"Pismo Beach, CA",3/2/17,Cal Poly SLO,Anna ,Gorman,4,1,"21-8, 21-10"
DI,435,"Pismo Beach, CA",3/2/17,Cal Poly SLO,Savannah,Niemen,4,1,"21-8, 21-10"
DI,435,"Pismo Beach, CA",3/2/17,Cal State Bakersfield,Hannah,Manzanares,4,0,"21-8, 21-10"
DI,435,"Pismo Beach, CA",3/2/17,Cal State Bakersfield,Madi,Busler,4,0,"21-8, 21-10"
DI,435,"Pismo Beach, CA",3/2/17,Cal Poly SLO,Taylor,Gruenewald,5,1,"21-14, 22-20"
DI,435,"Pismo Beach, CA",3/2/17,Cal Poly SLO,Brayden,Gruenewald,5,1,"21-14, 22-20"
DI,435,"Pismo Beach, CA",3/2/17,Cal State Bakersfield,Ally ,Barber ,5,0,"21-14, 22-20"
DI,435,"Pismo Beach, CA",3/2/17,Cal State Bakersfield,Kayla,Tinker,5,0,"21-14, 22-20"
DI,447,"Boca Raton, Fl",3/2/17,FIU,Katie,Hogan,1,1,"21-14, 21-16"
DI,447,"Boca Raton, Fl",3/2/17,FIU,Federica,Frasca,1,1,"21-14, 21-16"
NAIA,447,"Boca Raton, Fl",3/2/17,Webber,Alexandra,Spadaro,1,0,"21-14, 21-16"
NAIA,447,"Boca Raton, Fl",3/2/17,Webber,Nikki,McDaniel,1,0,"21-14, 21-16"
DI,447,"Boca Raton, Fl",3/2/17,FIU,Natalia,Giron,2,1,"21-14, 23-21"
DI,447,"Boca Raton, Fl",3/2/17,FIU,Lina,Bernier,2,1,"21-14, 23-21"
NAIA,447,"Boca Raton, Fl",3/2/17,Webber,Tessa,Colden,2,0,"21-14, 23-21"
NAIA,447,"Boca Raton, Fl",3/2/17,Webber,Carlee,Baxter,2,0,"21-14, 23-21"
DI,447,"Boca Raton, Fl",3/2/17,FIU,Kari,Peterson,3,0,"21-18, 14-21, 20-18"
DI,447,"Boca Raton, Fl",3/2/17,FIU,Helene,Thelle,3,0,"21-18, 14-21, 20-18"
NAIA,447,"Boca Raton, Fl",3/2/17,Webber,Michelle,Calderon,3,1,"21-18, 14-21, 20-18"
NAIA,447,"Boca Raton, Fl",3/2/17,Webber,Hannah,Tannone,3,1,"21-18, 14-21, 20-18"
DI,447,"Boca Raton, Fl",3/2/17,FIU,Anabela,Sataric,4,1,"21-16, 21-13"
DI,447,"Boca Raton, Fl",3/2/17,FIU,Estefanie ,Bethancourt,4,1,"21-16, 21-13"
NAIA,447,"Boca Raton, Fl",3/2/17,Webber,Brianna,Roque,4,0,"21-16, 21-13"
NAIA,447,"Boca Raton, Fl",3/2/17,Webber,Amber,Lake,4,0,"21-16, 21-13"
DI,447,"Boca Raton, Fl",3/2/17,FIU,Taija,Thomas,5,1,"21-12, 21-7"
DI,447,"Boca Raton, Fl",3/2/17,FIU,Margherita,Bianchin,5,1,"21-12, 21-7"
NAIA,447,"Boca Raton, Fl",3/2/17,Webber,Katie,Schueman,5,0,"21-12, 21-7"
NAIA,447,"Boca Raton, Fl",3/2/17,Webber,Kaxandra,Naranjo,5,0,"21-12, 21-7"
DI,448,"Boca Raton, Fl",3/2/17,FAU,Megan,Rice,1,0,"21-19, 21-19"
DI,448,"Boca Raton, Fl",3/2/17,FAU,Jessalyn,Kinlaw,1,0,"21-19, 21-19"
DI,448,"Boca Raton, Fl",3/2/17,FIU,Federica,Frasca,1,1,"21-19, 21-19"
DI,448,"Boca Raton, Fl",3/2/17,FIU,Katie,Hogan,1,1,"21-19, 21-19"
DI,448,"Boca Raton, Fl",3/2/17,FAU,Gabrielle,Dischler,2,0,"21-15, 21-14"
DI,448,"Boca Raton, Fl",3/2/17,FAU,Brittany,Pellitteri,2,0,"21-15, 21-14"
DI,448,"Boca Raton, Fl",3/2/17,FIU,Lina,Bernier,2,1,"21-15, 21-14"
DI,448,"Boca Raton, Fl",3/2/17,FIU,Natalia,Giron,2,1,"21-15, 21-14"
DI,448,"Boca Raton, Fl",3/2/17,FAU,Carly,Scarborough,3,1,"21-17, 21-17"
DI,448,"Boca Raton, Fl",3/2/17,FAU,Candace,Lacour,3,1,"21-17, 21-17"
DI,448,"Boca Raton, Fl",3/2/17,FIU,Molly,Shonk,3,0,"21-17, 21-17"
DI,448,"Boca Raton, Fl",3/2/17,FIU,Kari,Peterson,3,0,"21-17, 21-17"
DI,448,"Boca Raton, Fl",3/2/17,FAU,Nicole,Grant,4,0,"21-17, 21-17"
DI,448,"Boca Raton, Fl",3/2/17,FAU,Nicole,Navarro,4,0,"21-17, 21-17"
DI,448,"Boca Raton, Fl",3/2/17,FIU,Estefanie ,Bethancourt,4,1,"21-17, 21-17"
DI,448,"Boca Raton, Fl",3/2/17,FIU,Anabela,Sataric,4,1,"21-17, 21-17"
DI,448,"Boca Raton, Fl",3/2/17,FAU,Julia,Lewkowicz,5,0,"21-19, 18-21, 15-12"
DI,448,"Boca Raton, Fl",3/2/17,FAU,Ashlan ,Cunningham,5,0,"21-19, 18-21, 15-12"
DI,448,"Boca Raton, Fl",3/2/17,FIU,Margherita,Bianchin,5,1,"21-19, 18-21, 15-12"
DI,448,"Boca Raton, Fl",3/2/17,FIU,Taija,Thomas,5,1,"21-19, 18-21, 15-12"
NAIA,556,"Mesa, AZ",3/2/17,Benedictine,Jade,de la Rosa,1,0,"21-12, 21-19"
NAIA,556,"Mesa, AZ",3/2/17,Benedictine,Hannah,Marang,1,0,"21-12, 21-19"
DI,556,"Mesa, AZ",3/2/17,New Mexico,Cassie,House,1,1,"21-12, 21-19"
DI,556,"Mesa, AZ",3/2/17,New Mexico,Ashley,Kelsey,1,1,"21-12, 21-19"
NAIA,556,"Mesa, AZ",3/2/17,Benedictine,Marissa,Kyman,2,0,"21-13, 21-12"
NAIA,556,"Mesa, AZ",3/2/17,Benedictine,Norma,Suarez,2,0,"21-13, 21-12"
DI,556,"Mesa, AZ",3/2/17,New Mexico,Devanne,Sours,2,1,"21-13, 21-12"
DI,556,"Mesa, AZ",3/2/17,New Mexico,Lise,Rugland,2,1,"21-13, 21-12"
NAIA,556,"Mesa, AZ",3/2/17,Benedictine,Benesia,Rodriguez,3,0,"21-11, 21-14"
NAIA,556,"Mesa, AZ",3/2/17,Benedictine,Ariah,Evans ,3,0,"21-11, 21-14"
DI,556,"Mesa, AZ",3/2/17,New Mexico,Marisa,Doran,3,1,"21-11, 21-14"
DI,556,"Mesa, AZ",3/2/17,New Mexico,Eastyn,Baleto,3,1,"21-11, 21-14"
NAIA,556,"Mesa, AZ",3/2/17,Benedictine,Caitlan,Sammons,4,0,"21-16, 21-18"
NAIA,556,"Mesa, AZ",3/2/17,Benedictine,Lauren,Purdy,4,0,"21-16, 21-18"
DI,556,"Mesa, AZ",3/2/17,New Mexico,Jackie,Baro,4,1,"21-16, 21-18"
DI,556,"Mesa, AZ",3/2/17,New Mexico,Carly,Beddingfield,4,1,"21-16, 21-18"
NAIA,556,"Mesa, AZ",3/2/17,Benedictine,Kassandra,Renteria,5,0,"21-11, 21-10"
NAIA,556,"Mesa, AZ",3/2/17,Benedictine,Cassady,Leech,5,0,"21-11, 21-10"
DI,556,"Mesa, AZ",3/2/17,New Mexico,Lauren,Twitty,5,1,"21-11, 21-10"
DI,556,"Mesa, AZ",3/2/17,New Mexico,Julia,Warren,5,1,"21-11, 21-10"
DI,558,"Boca Raton, Fl",3/2/17,FAU,Megan,Rice,1,1,"21-14, 21-15"
DI,558,"Boca Raton, Fl",3/2/17,FAU,Jessalyn,Kinlaw,1,1,"21-14, 21-15"
NAIA,558,"Boca Raton, Fl",3/2/17,Webber,Carlee,Baxter,1,0,"21-14, 21-15"
NAIA,558,"Boca Raton, Fl",3/2/17,Webber,Alexandra,Spadaro,1,0,"21-14, 21-15"
DI,558,"Boca Raton, Fl",3/2/17,FAU,Gabrielle,Dischler,2,1,"21-16, 21-14"
DI,558,"Boca Raton, Fl",3/2/17,FAU,Brittany,Pellitteri,2,1,"21-16, 21-14"
NAIA,558,"Boca Raton, Fl",3/2/17,Webber,Tessa,Colden,2,0,"21-16, 21-14"
NAIA,558,"Boca Raton, Fl",3/2/17,Webber,Carlee,Baxter,2,0,"21-16, 21-14"
DI,558,"Boca Raton, Fl",3/2/17,FAU,Carly,Scarborough,3,1,"21-18, 21-14"
DI,558,"Boca Raton, Fl",3/2/17,FAU,Candace,Lacour,3,1,"21-18, 21-14"
NAIA,558,"Boca Raton, Fl",3/2/17,Webber,Hannah,Tannone,3,0,"21-18, 21-14"
NAIA,558,"Boca Raton, Fl",3/2/17,Webber,Michelle,Calderon,3,0,"21-18, 21-14"
DI,558,"Boca Raton, Fl",3/2/17,FAU,Nicole,Grant,4,1,"21-13, 21-12"
DI,558,"Boca Raton, Fl",3/2/17,FAU,Nicole,Navarro,4,1,"21-13, 21-12"
NAIA,558,"Boca Raton, Fl",3/2/17,Webber,Amber,Lake,4,0,"21-13, 21-12"
NAIA,558,"Boca Raton, Fl",3/2/17,Webber,Brianna,Baez,4,0,"21-13, 21-12"
DI,558,"Boca Raton, Fl",3/2/17,FAU,Julia,Lewkowicz,5,1,"21-7, 21-6"
DI,558,"Boca Raton, Fl",3/2/17,FAU,Ashlan ,Cunningham,5,1,"21-7, 21-6"
NAIA,558,"Boca Raton, Fl",3/2/17,Webber,Kaxandra,Naranjo,5,0,"21-7, 21-6"
NAIA,558,"Boca Raton, Fl",3/2/17,Webber,Katie,Schueman,5,0,"21-7, 21-6"
DI,615,"Stockton, Ca",3/2/17,Pacific,Lexi,Elman,1,0,"21-19, 21-13"
DI,615,"Stockton, Ca",3/2/17,Pacific,Andie,Shelton,1,0,"21-19, 21-13"
DI,615,"Stockton, Ca",3/2/17,San Jose State University,Lyndi,Scholl,1,1,"21-19, 21-13"
DI,615,"Stockton, Ca",3/2/17,San Jose State University,Allison,Meehan,1,1,"21-19, 21-13"
DI,615,"Stockton, Ca",3/2/17,Pacific,Katrin,Gotterba,2,0,"21-18, 21-23, 15-11"
DI,615,"Stockton, Ca",3/2/17,Pacific,Maycie,LaBass,2,0,"21-18, 21-23, 15-11"
DI,615,"Stockton, Ca",3/2/17,San Jose State University,Nandyala,Gama,2,1,"21-18, 21-23, 15-11"
DI,615,"Stockton, Ca",3/2/17,San Jose State University,Julie,Sam,2,1,"21-18, 21-23, 15-11"
DI,615,"Stockton, Ca",3/2/17,Pacific,Emily,Baptista,3,1,"21-16, 21-17"
DI,615,"Stockton, Ca",3/2/17,Pacific,Taylor,Poncetta,3,1,"21-16, 21-17"
DI,615,"Stockton, Ca",3/2/17,San Jose State University,Julia,Golbeck,3,0,"21-16, 21-17"
DI,615,"Stockton, Ca",3/2/17,San Jose State University,Luiza,Andrade,3,0,"21-16, 21-17"
DI,615,"Stockton, Ca",3/2/17,Pacific,Janie,Feldsher,4,0,"21-19, 21-15"
DI,615,"Stockton, Ca",3/2/17,Pacific,Alex,Holt,4,0,"21-19, 21-15"
DI,615,"Stockton, Ca",3/2/17,San Jose State University,Jamie,Hirai,4,1,"21-19, 21-15"
DI,615,"Stockton, Ca",3/2/17,San Jose State University,Giulia,Gavio,4,1,"21-19, 21-15"
DI,615,"Stockton, Ca",3/2/17,Pacific,Skylar,Wine,5,0,"21-19, 21-9"
DI,615,"Stockton, Ca",3/2/17,Pacific,Ashlyn,Fleming,5,0,"21-19, 21-9"
DI,615,"Stockton, Ca",3/2/17,San Jose State University,Kaitlynn,Zdroik,5,1,"21-19, 21-9"
DI,615,"Stockton, Ca",3/2/17,San Jose State University,Summer,Avery,5,1,"21-19, 21-9"
NAIA,663,"Mesa, AZ",3/2/17,Benedictine,Jade,de la Rosa,1,0,Feb-00
NAIA,663,"Mesa, AZ",3/2/17,Benedictine,Hannah,Marang,1,0,Feb-00
DII,663,"Mesa, AZ",3/2/17,Colorado Mesa,Abby,Ney,1,1,Feb-00
DII,663,"Mesa, AZ",3/2/17,Colorado Mesa,Taylor,Woods,1,1,Feb-00
NAIA,663,"Mesa, AZ",3/2/17,Benedictine,Marissa,Kyman,2,0,Feb-00
NAIA,663,"Mesa, AZ",3/2/17,Benedictine,Norma,Suarez,2,0,Feb-00
DII,663,"Mesa, AZ",3/2/17,Colorado Mesa,Megan,Gianinetti,2,1,Feb-00
DII,663,"Mesa, AZ",3/2/17,Colorado Mesa,Erin,Perez,2,1,Feb-00
NAIA,663,"Mesa, AZ",3/2/17,Benedictine,Benesia,Rodriguez,3,0,Feb-00
NAIA,663,"Mesa, AZ",3/2/17,Benedictine,Ariah,Evans ,3,0,Feb-00
DII,663,"Mesa, AZ",3/2/17,Colorado Mesa,Hattie,Gianinetti,3,1,Feb-00
DII,663,"Mesa, AZ",3/2/17,Colorado Mesa,MacKenzie,Edwards,3,1,Feb-00
NAIA,663,"Mesa, AZ",3/2/17,Benedictine,Caitlan,Sammons,4,0,"21-10, 21-16"
NAIA,663,"Mesa, AZ",3/2/17,Benedictine,Lauren,Purdy,4,0,"21-10, 21-16"
DII,663,"Mesa, AZ",3/2/17,Colorado Mesa,Hana,Peterman,4,1,"21-10, 21-16"
DII,663,"Mesa, AZ",3/2/17,Colorado Mesa,Katie,Scherr,4,1,"21-10, 21-16"
NAIA,663,"Mesa, AZ",3/2/17,Benedictine,Kassandra,Renteria,5,1,"21-18, 21-16"
