division,compID,location,date,college,first_name,last_name,playerid,position,result,score
DII,790,"Huntington Beach, Ca",2/15/18,Concordia,Avery,Keathley,812,1,1,"15-21, 24-22, 15-13"
DII,790,"Huntington Beach, Ca",2/15/18,Concordia,Kersti,Whitney,1554,1,1,"15-21, 24-22, 15-13"
NAIA,790,"Huntington Beach, Ca",2/15/18,Vanguard,Gabby,Morrison,1106,1,0,"15-21, 24-22, 15-13"
NAIA,790,"Huntington Beach, Ca",2/15/18,Vanguard,Kayla,Tinker,1107,1,0,"15-21, 24-22, 15-13"
DII,790,"Huntington Beach, Ca",2/15/18,Concordia,Vanessa,Bernzen,1550,2,1,"14-21, 21-19, 15-13"
DII,790,"Huntington Beach, Ca",2/15/18,Concordia,Tristan,Self,641,2,1,"14-21, 21-19, 15-13"
NAIA,790,"Huntington Beach, Ca",2/15/18,Vanguard,Kelli,Dowell,1378,2,0,"14-21, 21-19, 15-13"
NAIA,790,"Huntington Beach, Ca",2/15/18,Vanguard,Hannah,Holder,1108,2,0,"14-21, 21-19, 15-13"
DII,790,"Huntington Beach, Ca",2/15/18,Concordia,Marcela,Frazzoni,647,3,1,"21-13, 21-13"
DII,790,"Huntington Beach, Ca",2/15/18,Concordia,Kyra,Auten,645,3,1,"21-13, 21-13"
NAIA,790,"Huntington Beach, Ca",2/15/18,Vanguard,Dani,Erdelatz,1101,3,0,"21-13, 21-13"
NAIA,790,"Huntington Beach, Ca",2/15/18,Vanguard,Charity,Dennis,1105,3,0,"21-13, 21-13"
DII,790,"Huntington Beach, Ca",2/15/18,Concordia,Asia,O'Neil,920,4,1,"21-17, 21-10"
DII,790,"Huntington Beach, Ca",2/15/18,Concordia,Jessica,Diederich,1551,4,1,"21-17, 21-10"
NAIA,790,"Huntington Beach, Ca",2/15/18,Vanguard,Eliana,Johnson,1380,4,0,"21-17, 21-10"
NAIA,790,"Huntington Beach, Ca",2/15/18,Vanguard,Karly,Cantu,1102,4,0,"21-17, 21-10"
DII,790,"Huntington Beach, Ca",2/15/18,Concordia,Kekela,Hendrickson,1553,5,1,"21-11, 21-13"
DII,790,"Huntington Beach, Ca",2/15/18,Concordia,Riley,Gill,1552,5,1,"21-11, 21-13"
NAIA,790,"Huntington Beach, Ca",2/15/18,Vanguard,Karli,Burk,1379,5,0,"21-11, 21-13"
NAIA,790,"Huntington Beach, Ca",2/15/18,Vanguard,Bree,Bolton,1099,5,0,"21-11, 21-13"
Community College,791,"Hermosa Beach, Ca",2/16/18,El Camino College,Sophia,Loiola,1615,1,0,"17-21, 21-13, 15-11"
Community College,791,"Hermosa Beach, Ca",2/16/18,El Camino College,Jewel,Yandall,1618,1,0,"17-21, 21-13, 15-11"
Community College,791,"Hermosa Beach, Ca",2/16/18,Orange Coast College,Jadelyn,Forgiarini,1561,1,1,"17-21, 21-13, 15-11"
Community College,791,"Hermosa Beach, Ca",2/16/18,Orange Coast College,Kacey,Mathieson,1568,1,1,"17-21, 21-13, 15-11"
Community College,791,"Hermosa Beach, Ca",2/16/18,El Camino College,Jaylin,Motley,1628,2,0,"21-17, 21-18"
Community College,791,"Hermosa Beach, Ca",2/16/18,El Camino College,Sarah ,Dyer,1623,2,0,"21-17, 21-18"
Community College,791,"Hermosa Beach, Ca",2/16/18,Orange Coast College,Sierra,Lim,1563,2,1,"21-17, 21-18"
