division,compID,location,date,college,first_name,last_name,position,result,score
DII,790,"Huntington Beach, Ca",2018-02-15,Concordia,Kersti,Whitney,1,1,"15-21, 24-22, 15-13"
DII,790,"Huntington Beach, Ca",2018-02-15,Concordia,Avery,Keathley,1,1,"15-21, 24-22, 15-13"
NAIA,790,"Huntington Beach, Ca",2018-02-15,Vanguard,Kayla,Tinker,1,0,"15-21, 24-22, 15-13"
NAIA,790,"Huntington Beach, Ca",2018-02-15,Vanguard,Gabby,Morrison,1,0,"15-21, 24-22, 15-13"
DII,790,"Huntington Beach, Ca",2018-02-15,Concordia,Vanessa,Bernzen,2,1,"14-21, 21-19, 15-13"
DII,790,"Huntington Beach, Ca",2018-02-15,Concordia,Tristan,Self,2,1,"14-21, 21-19, 15-13"
NAIA,790,"Huntington Beach, Ca",2018-02-15,Vanguard,Hannah,Holder,2,0,"14-21, 21-19, 15-13"
NAIA,790,"Huntington Beach, Ca",2018-02-15,Vanguard,Kelli,Dowell,2,0,"14-21, 21-19, 15-13"
DII,790,"Huntington Beach, Ca",2018-02-15,Concordia,Kyra,Auten,3,1,"21-13, 21-13"
DII,790,"Huntington Beach, Ca",2018-02-15,Concordia,Marcela,Frazzoni,3,1,"21-13, 21-13"
NAIA,790,"Huntington Beach, Ca",2018-02-15,Vanguard,Dani,Erdelatz,3,0,"21-13, 21-13"
NAIA,790,"Huntington Beach, Ca",2018-02-15,Vanguard,Charity,Dennis,3,0,"21-13, 21-13"
DII,790,"Huntington Beach, Ca",2018-02-15,Concordia,Jessica,Diederich,4,1,"21-17, 21-10"
DII,790,"Huntington Beach, Ca",2018-02-15,Concordia,Asia,O'Neil,4,1,"21-17, 21-10"
NAIA,790,"Huntington Beach, Ca",2018-02-15,Vanguard,Eliana,Johnson,4,0,"21-17, 21-10"
NAIA,790,"Huntington Beach, Ca",2018-02-15,Vanguard,Karly,Cantu,4,0,"21-17, 21-10"
DII,790,"Huntington Beach, Ca",2018-02-15,Concordia,Kekela,Hendrickson,5,1,"21-11, 21-13"
DII,790,"Huntington Beach, Ca",2018-02-15,Concordia,Riley,Gill,5,1,"21-11, 21-13"
NAIA,790,"Huntington Beach, Ca",2018-02-15,Vanguard,Bree,Bolton,5,0,"21-11, 21-13"
NAIA,790,"Huntington Beach, Ca",2018-02-15,Vanguard,Karli,Burk,5,0,"21-11, 21-13"
DII,799," Deland, FL ",2018-02-23,Eckerd ,Mackenzie,Redner,1,0,"21-12, 21-15"
DII,799," Deland, FL ",2018-02-23,Eckerd ,Savanna,Cary,1,0,"21-12, 21-15"
DI,799," Deland, FL ",2018-02-23,Stetson,Carly,Perales,1,1,"21-12, 21-15"
DI,799," Deland, FL ",2018-02-23,Stetson,Sunniva,Helland-Hansen,1,1,"21-12, 21-15"
DII,799," Deland, FL ",2018-02-23,Eckerd ,Paula,Hoffman,2,0,"21-18, 21-16"
DII,799," Deland, FL ",2018-02-23,Eckerd ,Kaitlyn,Sibson,2,0,"21-18, 21-16"
DI,799," Deland, FL ",2018-02-23,Stetson,Sammee,Thomas,2,1,"21-18, 21-16"
DI,799," Deland, FL ",2018-02-23,Stetson,Darby,Dunn,2,1,"21-18, 21-16"
DII,799," Deland, FL ",2018-02-23,Eckerd ,Madison ,Whiting,3,0,"21-17, 21-17"
DII,799," Deland, FL ",2018-02-23,Eckerd ,Arielle,Erillo,3,0,"21-17, 21-17"
DI,799," Deland, FL ",2018-02-23,Stetson,Quinci,Birker,3,1,"21-17, 21-17"
DI,799," Deland, FL ",2018-02-23,Stetson,Rebecca,Ingram,3,1,"21-17, 21-17"
DII,799," Deland, FL ",2018-02-23,Eckerd ,Rachel,Cornatzer,4,0,"21-10, 21-8"
DII,799," Deland, FL ",2018-02-23,Eckerd ,Stephanie,Bogda,4,0,"21-10, 21-8"
DI,799," Deland, FL ",2018-02-23,Stetson,Rachel,Noble,4,1,"21-10, 21-8"
DI,799," Deland, FL ",2018-02-23,Stetson,Samantha,Harris,4,1,"21-10, 21-8"
DII,799," Deland, FL ",2018-02-23,Eckerd ,Jordan,Duffy,5,0,"21-9, 21-10"
DII,799," Deland, FL ",2018-02-23,Eckerd ,Kali,Boatwright,5,0,"21-9, 21-10"
DI,799," Deland, FL ",2018-02-23,Stetson,Katinka,Krahn,5,1,"21-9, 21-10"
DI,799," Deland, FL ",2018-02-23,Stetson,Alexa,Richardson,5,1,"21-9, 21-10"
DI,800,"  Deland, FL  ",2018-02-23,Georgia State,Brooke,Weiner,1,0,"22-24, 21-17, 15-13"
DI,800,"  Deland, FL  ",2018-02-23,Georgia State,Tiffany,Creamer,1,0,"22-24, 21-17, 15-13"
