,Position,TeamAPlayer1,TeamAPlayer2,TeamBPlayer1,TeamBPlayer2,Winner,Loser,Compid,Event Date
0,1,Avery Keathley,Kersti Whitney,Kayla Tinker,Gabby Morrison,Concordia,Vanguard,790,20180215
1,2,Vanessa Bernzen,Tristan Self,Kelli Dowell,Hannah Holder,Concordia,Vanguard,790,20180215
2,3,Marcela Frazzoni,Kyra Auten,Dani Erdelatz,Charity Dennis,Concordia,Vanguard,790,20180215
3,4,Asia O'Neil,Jessica Diederich,Karly Cantu,Eliana Johnson,Concordia,Vanguard,790,20180215
4,5,Riley Gill,Kekela Hendrickson,Karli Burk,Bree Bolton,Concordia,Vanguard,790,20180215
5,1,Jewel Yandall,Sophia Loiola,Kacey Mathieson,Jadelyn Forgiarini,Orange Coast College,El Camino College,791,20180216
6,2,Sarah  Dyer,Jaylin Motley,Sierra Lim,Hannah Del Barto,Orange Coast College,El Camino College,791,20180216
7,3,Aiko Waters,Phina Leilua,Rylee Adair,Devyn Holland,El Camino College,Orange Coast College,791,20180216
8,4,Glorious Owens,Jossie Tomita,Hannah Reid,Molly Thee,El Camino College,Orange Coast College,791,20180216
9,5,Kiana Takahashi,Melissa Euyoque,Enjelica Glatti,Georgia Grisham,El Camino College,Orange Coast College,791,20180216
10,1,Sierra Davis,Josannah Vazquez,Milla Anderson,Sarah Connell,Long Beach City College,San Diego Mesa College,792,20180216
11,2,Brooklyn Mize,Jessica Kaeka,Melissa Pittelkau,Alina Snyder,Long Beach City College,San Diego Mesa College,792,20180216
12,3,Isabella Alvarez,Doris Woods,Jhenalyn Germono,Robyn Brooks,Long Beach City College,San Diego Mesa College,792,20180216
13,4,Mariah Clausen,Elsa Woods,Lizette Moore-Teague,Kylie Cassicippo,San Diego Mesa College,Long Beach City College,792,20180216
14,5,Jordan Diaz,Jasmine Palacios,Sabrina Calcutt,Tiarah Tucker,Long Beach City College,San Diego Mesa College,792,20180216
15,1,Sophia Loiola,Jewel Yandall,Khamis Berneker,Toso Leae,El Camino College,Cypress College,793,20180216
16,2,Sarah  Dyer,Jaylin Motley,Penina Wilder,Jane Woodward,Cypress College,El Camino College,793,20180216
17,3,Aiko Waters,Phina Leilua,Marina Pilkington,Jessika Tellez,El Camino College,Cypress College,793,20180216
18,4,Glorious Owens,Jossie Tomita,Kayla Owens,Brianna Georgopoulos,Cypress College,El Camino College,793,20180216
19,5,Kiana Takahashi,Melissa Euyoque,Alicya Siler,Arianna Ugaitafa,El Camino College,Cypress College,793,20180216
20,1,Jewel Yandall,Sophia Loiola,Madison Anderson,Celin Macdonald,El Camino College,Mira Costa College,794,20180216
21,2,Sarah  Dyer,Jaylin Motley,Lana Salzar,Claire Kinder,El Camino College,Mira Costa College,794,20180216
22,3,Aiko Waters,Phina Leilua,Chloe Tripp,Michelle Mason,Mira Costa College,El Camino College,794,20180216
23,4,Glorious Owens,Jossie Tomita,Violeti Faleumu,Madison Merkow,Mira Costa College,El Camino College,794,20180216
24,5,Kiana Takahashi,Melissa Euyoque,Halie Hess,Jazleigh Ortiz,El Camino College,Mira Costa College,794,20180216
25,1,Jourdan Muro,Brooke Horack,Britany Tran,Mikelle Taylor,Bakersfield College,Santa Ana College,795,20180216
26,2,Alex Paris,Reece Stevenson,Iliana Mendoza,Karissa Mumford,Bakersfield College,Santa Ana College,795,20180216
27,3,Rachel Hoover,Haley Sanchez,Kayla Long,Kassandra Murillo,Bakersfield College,Santa Ana College,795,20180216
28,4,Caitlyn Foreman,Sarah Armendariz,Destinee Blue,Hannah Degrasse,Bakersfield College,Santa Ana College,795,20180216
29,5,Shyanne Baez,Bianca Logsdon,Lily Reissmueller,Stephanie Huerta,Santa Ana College,Bakersfield College,795,20180216
30,1,Braxton Jessie,Janessa Simental,Malia Carr,Shaianne Palos,Ventura College,Mt San Antonio College,796,20180221
31,2,Armonee Hunter,Kasie Spencer,Sierra Lujan,Jordon Wilson,Ventura College,Mt San Antonio College,796,20180221
32,3,Taylor Benitez-Fanslow,Shea McKeown,Lauren Quinonez,Alysha Tullar,Ventura College,Mt San Antonio College,796,20180221
33,4,Sofia Gomez,Jordan Neria,Lindsey Lane,Brianda Valdez,Ventura College,Mt San Antonio College,796,20180221
34,5,Carina Cates,Danielle Garcia,Kierra Coatney,Natalya Fajardo,Ventura College,Mt San Antonio College,796,20180221
35,1,Braxton Jessie,Janessa Simental,Andrea  Velasco,Madison Mader,Rio Hondo College ,Ventura College,797,20180216
36,2,Armonee Hunter,Kasie Spencer,Sara  Harding,Michelle Rosas,Ventura College,Rio Hondo College ,797,20180216
37,3,Taylor Benitez-Fanslow,Shea McKeown,Michell Chavez-Valdivia,Felipa Moreno,Rio Hondo College ,Ventura College,797,20180216
38,4,Sofia Gomez,Jordan Neria,Bree Newton,Michelle Hawkins,Ventura College,Rio Hondo College ,797,20180216
39,5,Carina Cates,Danielle Garcia,Madelyn Gastelum,Stephanie Garcia,Ventura College,Rio Hondo College ,797,20180216
40,1,Felicia Marshall,Khalia Jordan,Braxton Jessie,Janessa Simental,Grossmont College,Ventura College,798,20180216
41,2,Christina Barrameda,Aofiaolela Faa'agi,Armonee Hunter,Kasie Spencer,Grossmont College,Ventura College,798,20180216
42,3,Desiree Elizondo,Makayla Tam,Taylor Benitez-Fanslow,Shea McKeown,Grossmont College,Ventura College,798,20180216
43,4,Maiya Lopez,Ashlee Goycoochea,Sofia Gomez,Jordan Neria,Grossmont College,Ventura College,798,20180216
44,5,Julia Holden,Talia  Young,Carina Cates,Danielle Garcia,Grossmont College,Ventura College,798,20180216
45,1,Carly Perales,Sunniva Helland-Hansen,Mackenzie Redner,Savanna Cary,Stetson,Eckerd ,799,20180223
46,2,Darby Dunn,Sammee Thomas,Paula Hoffman,Kaitlyn Sibson,Stetson,Eckerd ,799,20180223
47,3,Rebecca Ingram,Quinci Birker,Madison  Whiting,Arielle Erillo,Stetson,Eckerd ,799,20180223
48,4,Rachel Noble,Samantha Harris,Rachel Cornatzer,Stephanie Bogda,Stetson,Eckerd ,799,20180223
49,5,Alexa Richardson,Katinka Krahn,Kali Boatwright,Jordan Duffy,Stetson,Eckerd ,799,20180223
50,1,Shannon Williams,Ali Denney,Tiffany Creamer,Brooke Weiner,South Carolina,Georgia State,800,20180223
51,2,Lydia Dimke,Katie Smith,Ashley McGinn,Allie Elson,South Carolina,Georgia State,800,20180223
52,3,Julia Mannisto,Carly Schneider,Georgia Johnson,Eden Hawes,South Carolina,Georgia State,800,20180223
53,4,Leah Perri,Macie Tendrich,Kate Novack,Rebekah Brodbeck,South Carolina,Georgia State,800,20180223
54,5,Franky Harrison,Hannah Edelman,Amie  Held,Maddie Gordon,South Carolina,Georgia State,800,20180223
55,1,Macy Jerger,Victoria Paranagua,Jessalyn Kinlaw,Gabrielle Dischler,Florida State,FAU,801,20180223
56,2,Brooke Kuhlman,Vanessa Freire,Carly Scarborough,Brittany Pellitteri,Florida State,FAU,801,20180223
57,3,Francesca Goncalves,Sara Putt,Nicole Navarro,Nicole Grant,Florida State,FAU,801,20180223
58,4,Hailey Luke,Katie Horton,Mackenzie Morris,Erica Brok,Florida State,FAU,801,20180223
