,Position,TeamAPlayer1,TeamAPlayer2,TeamBPlayer1,TeamBPlayer2,Winner,Loser,Compid,Event Date
0,1,Carly Perales,Sunniva Helland-Hansen,Mackenzie Redner,Savanna Cary,Stetson,Eckerd ,799,20180223
1,2,Darby Dunn,Sammee Thomas,Paula Hoffman,Kaitlyn Sibson,Stetson,Eckerd ,799,20180223
2,3,Rebecca Ingram,Quinci Birker,Madison  Whiting,Arielle Erillo,Stetson,Eckerd ,799,20180223
3,4,Rachel Noble,Samantha Harris,Rachel Cornatzer,Stephanie Bogda,Stetson,Eckerd ,799,20180223
4,5,Alexa Richardson,Katinka Krahn,Kali Boatwright,Jordan Duffy,Stetson,Eckerd ,799,20180223
5,1,Shannon Williams,Ali Denney,Tiffany Creamer,Brooke Weiner,South Carolina,Georgia State,800,20180223
6,2,Lydia Dimke,Katie Smith,Ashley McGinn,Allie Elson,South Carolina,Georgia State,800,20180223
7,3,Julia Mannisto,Carly Schneider,Georgia Johnson,Eden Hawes,South Carolina,Georgia State,800,20180223
8,4,Leah Perri,Macie Tendrich,Kate Novack,Rebekah Brodbeck,South Carolina,Georgia State,800,20180223
9,5,Franky Harrison,Hannah Edelman,Amie  Held,Maddie Gordon,South Carolina,Georgia State,800,20180223
10,1,Macy Jerger,Victoria Paranagua,Jessalyn Kinlaw,Gabrielle Dischler,Florida State,FAU,801,20180223
11,2,Brooke Kuhlman,Vanessa Freire,Carly Scarborough,Brittany Pellitteri,Florida State,FAU,801,20180223
12,3,Francesca Goncalves,Sara Putt,Nicole Navarro,Nicole Grant,Florida State,FAU,801,20180223
13,4,Hailey Luke,Katie Horton,Mackenzie Morris,Erica Brok,Florida State,FAU,801,20180223
14,5,Molly McBain,Eva Torruella,Kaila Dorish,Ashlan  Cunningham,Florida State,FAU,801,20180223
15,1,Tiffany Creamer,Brooke Weiner,Carly Perales,Sunniva Helland-Hansen,Stetson,Georgia State,802,20180223
16,2,Ashley McGinn,Allie Elson,Sammee Thomas,Darby Dunn,Stetson,Georgia State,802,20180223
17,3,Olivia Stasevich,Georgia Johnson,Quinci Birker,Rebecca Ingram,Georgia State,Stetson,802,20180223
18,4,Eden Hawes,Ashley Bauchert,Samantha Harris,Rachel Noble,Georgia State,Stetson,802,20180223
19,5,Kate Novack,Amie  Held,Alexa Richardson,Katinka Krahn,Georgia State,Stetson,802,20180223
20,1,Macy Jerger,Victoria Paranagua,Shannon Williams,Ali Denney,Florida State,South Carolina,803,20180223
21,2,Vanessa Freire,Brooke Kuhlman,Carly Schneider,Katie Smith,South Carolina,Florida State,803,20180223
22,3,Sara Putt,Francesca Goncalves,Leah Perri,Macie Tendrich,Florida State,South Carolina,803,20180223
23,4,Katie Horton,Hailey Luke,Julia Mannisto,Jess Vastine,Florida State,South Carolina,803,20180223
24,5,Molly McBain,Eva Torruella,Franky Harrison,Hannah Sorensen,Florida State,South Carolina,803,20180223
25,1,Gabrielle Dischler,Jessalyn Kinlaw,Savanna Cary,Mackenzie Redner,FAU,Eckerd ,804,20180223
26,4,Erica Brok,Mackenzie Morris,Stephanie Bogda,Rachel Cornatzer,FAU,Eckerd ,804,20180223
27,5,Ashlan  Cunningham,Kaila Dorish,Abigail O'Ferrell,Jordan Duffy,FAU,Eckerd ,804,20180223
28,1,Lauren Stivrins,Jazz Sweat,Jackie Woods,Kat McCullough,Nebraska,Benedictine,805,20180223
29,2,Kelly Hunter,Annika Albrecht,Caitlan Sammons,Sydney Nelson,Nebraska,Benedictine,805,20180223
30,3,Kenzie Maloney,Sami Slaughter,Megan Block,Dani Burke,Nebraska,Benedictine,805,20180223
31,4,Allie Havers,Jasmine Schmidt,Anokina Mirzapour,Kassandra Renteria,Nebraska,Benedictine,805,20180223
32,1,Kristen Nuss,Claire Coppola,Torrey Van Winden,Tia Miric,LSU,Cal Poly SLO,816,20180223
33,2,Mandi Orellana,Haleigh Nelson,Sam Manley,Emily Sonny,Cal Poly SLO,LSU,816,20180223
34,3,Olivia Powers,Maddie Ligon,Hannah Hubbard,Raeann Greisen,Cal Poly SLO,LSU,816,20180223
35,4,Emmy Allen,Megan Davenport,Adlee Van Winden,Macy Gordon,LSU,Cal Poly SLO,816,20180223
36,5,Gina Tillis,Emily Hardesty,Brayden Gruenewald,Dora Beilin,LSU,Cal Poly SLO,816,20180223
37,1,Claire Coppola,Kristen Nuss,Molly Turner,Katie Pyles,LSU,Grand Canyon,817,20180223
38,2,Haleigh Nelson,Hunter Domanski,Hannah Towne,Jessica Stansfield,Grand Canyon,LSU,817,20180223
39,3,Maddie Ligon,Olivia Powers,Bella Baumann,Taylor Jarzombek,LSU,Grand Canyon,817,20180223
40,4,Emmy Allen,Megan Davenport,Natalie Honzovicova,Madi Relaz,LSU,Grand Canyon,817,20180223
41,5,Gina Tillis,Emily Hardesty,Jessica Clark,Katie Sarber,Grand Canyon,LSU,817,20180223
42,1,Torrey Van Winden,Tia Miric,Madalyn Roh,Brook Bauer,Cal Poly SLO,Pepperdine,818,20180223
43,2,Sam Manley,Emily Sonny,Corinne Quiggle,Deahna Kraft,Cal Poly SLO,Pepperdine,818,20180223
44,3,Hannah Hubbard,Raeann Greisen,Gigi Hernandez,Heidi Dyer,Pepperdine,Cal Poly SLO,818,20180223
45,4,Adlee Van Winden,Brayden Gruenewald,Alexis Filippone,Skylar Caputo,Pepperdine,Cal Poly SLO,818,20180223
46,5,Macy Gordon,Heather Pembroke,Jordan Ferrari,Maddie Dilfer,Cal Poly SLO,Pepperdine,818,20180223
47,1,Teegan Van Gunst,Tiffany Creamer,Savanna Cary,Mackenzie Redner,Georgia State,Eckerd ,821,20180224
48,2,Annika Van Gunst,Brooke Weiner,Madison  Whiting,Arielle Erillo,Georgia State,Eckerd ,821,20180224
49,4,Rebekah Brodbeck,Amie  Held,Rachel Cornatzer,Jordan Duffy,Georgia State,Eckerd ,821,20180224
50,5,Eden Hawes,Ashley Bauchert,Stephanie Bogda,Kali Boatwright,Georgia State,Eckerd ,821,20180224
51,1,Shannon Williams,Ali Denney,Carly Perales,Sunniva Helland-Hansen,South Carolina,Stetson,823,20180224
52,2,Carly Schneider,Katie Smith,Darby Dunn,Sammee Thomas,Stetson,South Carolina,823,20180224
53,3,Leah Perri,Macie Tendrich,Alexa Richardson,Rachel Noble,Stetson,South Carolina,823,20180224
54,4,Julia Mannisto,Jess Vastine,Quinci Birker,Rebecca Ingram,South Carolina,Stetson,823,20180224
55,5,Franky Harrison,Hannah Edelman,Julie Varga,Lauren Durham,South Carolina,Stetson,823,20180224
56,1,Macy Jerger,Victoria Paranagua,Teegan Van Gunst,Tiffany Creamer,Georgia State,Florida State,824,20180224
57,2,Vanessa Freire,Brooke Kuhlman,Annika Van Gunst,Brooke Weiner,Florida State,Georgia State,824,20180224
58,3,Francesca Goncalves,Sara Putt,Olivia Stasevich,Georgia Johnson,Florida State,Georgia State,824,20180224
59,4,Katie Horton,Hailey Luke,Ashley McGinn,Allie Elson,Florida State,Georgia State,824,20180224
60,5,Molly McBain,Madison Fitzpatrick,Amie  Held,Kate Novack,Florida State,Georgia State,824,20180224
61,1,Deahna Kraft,Corinne Quiggle,Claire Coppola,Kristen Nuss,LSU,Pepperdine,825,20180224
62,2,Brook Bauer,Madalyn Roh,Haleigh Nelson,Hunter Domanski,Pepperdine,LSU,825,20180224
63,3,Heidi Dyer,Gigi Hernandez,Olivia Powers,Maddie Ligon,Pepperdine,LSU,825,20180224
64,4,Skylar Caputo,Alexis Filippone,Emmy Allen,Megan Davenport,Pepperdine,LSU,825,20180224
65,5,Kaity Bailey,Katie Gavin,Emily Hardesty,Gina Tillis,Pepperdine,LSU,825,20180224
66,1,Claire Coppola,Kristen Nuss,Annika Albrecht,Lauren Stivrins,LSU,Nebraska,826,20180224
67,2,Haleigh Nelson,Hunter Domanski,Jazz Sweat,Kenzie Maloney,LSU,Nebraska,826,20180224
68,3,Olivia Powers,Maddie Ligon,Kelly Hunter,Sami Slaughter,LSU,Nebraska,826,20180224
69,4,Emmy Allen,Megan Davenport,Allie Havers,Jasmine Schmidt,LSU,Nebraska,826,20180224
70,5,Emily Hardesty,Gina Tillis,Chesney McClellan,Hayley Densberger,LSU,Nebraska,826,20180224
71,1,Haven Hill,Cassie House,Gabby Atchley,Whitney Walker,TCU,Texas A&M; Kingsville,827,20180224
72,2,Jaelyn Greene,Jillian Bergeson,Madison Brabham,Macy Berg,TCU,Texas A&M; Kingsville,827,20180224
73,4,Jensyn Bledsoe,Avery Arellano,Haley Hutchinson ,Malee Sowa,TCU,Texas A&M; Kingsville,827,20180224
74,5,Jordan Westendorf,Brooke Sassin,Madeleine  Sims,Kyra Henderson ,TCU,Texas A&M; Kingsville,827,20180224
75,1,Shannon Williams,Ali Denney,Gabrielle Dischler,Jessalyn Kinlaw,South Carolina,FAU,828,20180224
76,2,Carly Schneider,Katie Smith,Carly Scarborough,Brittany Pellitteri,South Carolina,FAU,828,20180224
77,3,Leah Perri,Macie Tendrich,Nicole Grant,Nicole Navarro,FAU,South Carolina,828,20180224
78,4,Julia Mannisto,Jess Vastine,Erica Brok,Mackenzie Morris,FAU,South Carolina,828,20180224
79,5,Franky Harrison,Hannah Edelman,Ashlan  Cunningham,Kaila Dorish,South Carolina,FAU,828,20180224
80,1,Deahna Kraft,Corinne Quiggle,Molly Turner,Katie Pyles,Pepperdine,Grand Canyon,829,20180224
81,2,Brook Bauer,Madalyn Roh,Hannah Towne,Jessica Stansfield,Pepperdine,Grand Canyon,829,20180224
82,3,Heidi Dyer,Gigi Hernandez,Bella Baumann,Taylor Jarzombek,Pepperdine,Grand Canyon,829,20180224
83,4,Skylar Caputo,Alexis Filippone,Katie Sarber,Natalie Honzovicova,Pepperdine,Grand Canyon,829,20180224
84,5,Kaity Bailey,Katie Gavin,Jamie  Walsh,Emily Reinking,Grand Canyon,Pepperdine,829,20180224
85,1,Haven Hill,Cassie House,Aeriel Horton,Jessica Wooten,TCU,Houston Baptist,830,20180224
86,2,Jaelyn Greene,Jillian Bergeson,Kayla Armer,Tori Hinojosa,Houston Baptist,TCU,830,20180224
87,3,Hannah Rogers,Molly Scheel,Bailey Banks,Katya Silveira,TCU,Houston Baptist,830,20180224
88,4,Jensyn Bledsoe,Avery Arellano,Danielle Wheeler,Brennan Miller,TCU,Houston Baptist,830,20180224
89,5,Jordan Westendorf,Brooke Sassin,Meagan Carter,Kali Fluke,TCU,Houston Baptist,830,20180224
90,1,Macy Jerger,Victoria Paranagua,Darby Dunn,Sammee Thomas,Florida State,Stetson,831,20180224
