,Position,TeamAPlayer1,TeamAPlayer2,TeamBPlayer1,TeamBPlayer2,Winner,Loser,Compid,Event Date
2,3,Rebecca Ingram,Quinci Birker,Madison  Whiting,Arielle Erillo,Stetson,Eckerd ,799,20180223
7,3,Julia Mannisto,Carly Schneider,Georgia Johnson,Eden Hawes,South Carolina,Georgia State,800,20180223
12,3,Francesca Goncalves,Sara Putt,Nicole Navarro,Nicole Grant,Florida State,FAU,801,20180223
17,3,Olivia Stasevich,Georgia Johnson,Quinci Birker,Rebecca Ingram,Georgia State,Stetson,802,20180223
22,3,Sara Putt,Francesca Goncalves,Leah Perri,Macie Tendrich,Florida State,South Carolina,803,20180223
30,3,Kenzie Maloney,Sami Slaughter,Megan Block,Dani Burke,Nebraska,Benedictine,805,20180223
34,3,Olivia Powers,Maddie Ligon,Hannah Hubbard,Raeann Greisen,Cal Poly SLO,LSU,816,20180223
39,3,Maddie Ligon,Olivia Powers,Bella Baumann,Taylor Jarzombek,LSU,Grand Canyon,817,20180223
44,3,Hannah Hubbard,Raeann Greisen,Gigi Hernandez,Heidi Dyer,Pepperdine,Cal Poly SLO,818,20180223
53,3,Leah Perri,Macie Tendrich,Alexa Richardson,Rachel Noble,Stetson,South Carolina,823,20180224
58,3,Francesca Goncalves,Sara Putt,Olivia Stasevich,Georgia Johnson,Florida State,Georgia State,824,20180224
63,3,Heidi Dyer,Gigi Hernandez,Olivia Powers,Maddie Ligon,Pepperdine,LSU,825,20180224
68,3,Olivia Powers,Maddie Ligon,Kelly Hunter,Sami Slaughter,LSU,Nebraska,826,20180224
77,3,Leah Perri,Macie Tendrich,Nicole Grant,Nicole Navarro,FAU,South Carolina,828,20180224
82,3,Heidi Dyer,Gigi Hernandez,Bella Baumann,Taylor Jarzombek,Pepperdine,Grand Canyon,829,20180224
87,3,Hannah Rogers,Molly Scheel,Bailey Banks,Katya Silveira,TCU,Houston Baptist,830,20180224
92,3,Francesca Goncalves,Sara Putt,Rachel Noble,Samantha Harris,Florida State,Stetson,831,20180224
97,3,Madi Yeomans,Elise Zappia,Payton Chang,Catherine Raquel,UCLA,Stanford,832,20180224
101,3,Casey Justice,Madilyn McCarty,Molly Fusarelli,Salla Rautiainen,UNF,Webber,833,20180224
106,3,Casey Justice,Madilyn McCarty,Gabbi Pacatte,Leigh Buttner,UNF,Tampa,834,20180224
110,3,Sarah Chase,Mary Hernandez,Mima Mirkovic,Alexia Inman,Cal,Saint Mary's,835,20180224
115,3,Mima Mirkovic,Alexia Inman,Taylor Poncetta,Hanne De Schrijver,Cal,Pacific,836,20180224
120,3,Morgan Martin,Lea Monkhouse,Payton Chang,Catherine Raquel,Hawaii,Stanford,837,20180224
125,3,Erika Zembyla,Lina Bernier,Catherine Griffith,Rebecca Brown,ULM,FIU,838,20180224
130,3,Raeann Greisen,Hannah Hubbard,Sami Slaughter,Jazz Sweat,Cal Poly SLO,Nebraska,839,20180224
135,3,Joy Dennis,Brianna Sizemore,Bella Baumann,Taylor Jarzombek,Grand Canyon,USC,840,20180224
140,3,Bailey Banks,Katya Silveira,Catherine Griffith,Rebecca Brown,ULM,Houston Baptist,841,20180224
145,3,Amber Gibson,Gracie Garanich,Amy Tyma,Cheyenne Scarborough,Mercer,Huntingdon,842,20180224
150,3,Joy Dennis,Brianna Sizemore,Katelyn Carballo,Ellyson Lundberg,ASU,USC,843,20180224
155,3,Morgan Martin,Lea Monkhouse,Elise Zappia,Madi Yeomans,Hawaii,UCLA,844,20180224
162,3,Candice Denny,Brooke Burling,Megan Block,Dani Burke,Arizona,Benedictine,846,20180224
167,3,Jamie Hirai,Hayley Sturgeon,Katelyn Mueller,Lexie Rawls,San Jose State University,Abilene Christian,847,20180224
172,3,Jamie Hirai,Hayley Sturgeon,Lexie Rawls,Katelyn Mueller,San Jose State University,Abilene Christian,848,20180224
177,3,Sarah Chase,Mary Hernandez,Roni Long,Skylar Wine,Saint Mary's,Pacific,851,20180224
