,first_name,last_name,college,position,match count
1,Abbey,Wilson,New Mexico,5,14
2,Abby,Waldburger,Cal,4,1
3,Abigail,Devido,Texas A&M Corpus Christi,1,14
4,Abril,Bustamante,USC,1,40
6,Addison,Hermstad,Tulane,4,13
9,Adlee,Van Winden,Cal Poly SLO,3,23
11,Adore,Anae,Utah,1,16
12,Aeriel,Horton,Houston Baptist,1,27
13,Aeryn,Owens,Cal State Northridge,1,16
16,Alaina,Chacon,Florida State,4,4
17,Alanya,Ryan,FGCU,5,14
19,Aleksandra,Djordjevic,Cal State Bakersfield,3,11
23,Aleksandra,Djuric,Coastal Carolina,2,7
25,Alex,Holt,Pacific,3,21
28,Alex,Kells,UAB,4,1
30,Alexa,Richardson,Stetson,4,7
32,Alexa,Van Komen,Utah,5,6
34,Alexandra,Poletto,USC,5,21
35,Alexia,Inman,Cal,1,20
38,Alexis,Filippone,Pepperdine,4,31
40,Alexis,Patterson,Long Beach State,5,2
41,Ali,Denney,South Carolina,1,26
43,Ali,Eager,Florida State,3,2
47,Allie,Elson,Georgia State,5,10
49,Allie,Havers,Nebraska,5,13
50,Allie,Kemp,ULM,4,11
52,Allison,Beckman,College of Charleston,4,23
55,Allison,Kantor,Santa Clara,4,5
57,Ally,Barber,Cal State Bakersfield,5,18
59,Ally,Carr,New Orleans,5,13
60,Allyssah,Fitterer,Hawaii,5,3
62,Aly,Brinkley,Central Arkansas,2,8
64,Alyssa,Cecil,Morehead State,3,3
65,Amanda,Carroll,FGCU,1,20
66,Amanda,Silva,FAU,1,13
72,Amber,Gibson,Mercer,3,14
74,Amelia,Smith,Stanford,2,20
76,Amie,Held,Georgia State,4,26
78,Amy,Ozee,Hawaii,4,42
80,Amy,Weiss,Abilene Christian,4,7
82,Anabela,Sataric,FIU,2,12
85,Andie,Shelton,Pacific,1,19
87,Anete,Brinke,Long Beach State,2,5
88,Anete,Brinke,Long Beach State,3,5
89,Anezka,Szabo,Nebraska,4,1
91,Anna,Chin,Tulane,3,18
93,Anna,Crabtree,Washington,4,25
95,Anna,Dalla Vecchia,USF,1,11
97,Anna,McCreadie,Santa Clara,2,4
99,Anna,Unnasch,Grand Canyon,2,1
100,Annie,Pringle,UAB,5,10
102,Annika,Albrecht,Nebraska,2,11
103,Annika,Van Gunst,Georgia State,1,22
105,Ari,Homayun,Hawaii,4,42
107,Aristea,Tontai,Coastal Carolina,5,5
108,Ashlan,Cunningham,FAU,5,5
109,Ashley,Allmer,LSU,2,5
112,Ashley,Bauchert,Georgia State,5,6
113,Ashley,Clingan,Jacksonville State,5,9
116,Ashley,Delgado,Tulane,4,12
117,Ashley,Delgado,Tulane,5,12
119,Ashley,Glickert,FGCU,3,17
122,Ashley,McGinn,Georgia State,5,24
123,Ashley,Slay,Austin Peay State,4,12
126,Ashlyn,Fleming,Pacific,5,12
127,Ashtin,Olin,"Cal State University, Sacramento",3,9
129,Aubrey,Cheffey,Missouri State,2,6
130,Aubrey,Ezell,South Carolina,2,1
131,Aubrey,Ezell,South Carolina,3,1
132,Aubrey,Ezell,South Carolina,4,1
133,Aubrey,Ezell,South Carolina,5,1
134,August,Raskie,Oregon,1,10
137,Autumn,Otto,Coastal Carolina,5,9
138,Autumn,Russell,Cal State Northridge,3,16
140,Avei,Logoleo,UAB,2,19
142,Avery,Arellano,TCU,4,19
144,Avery,Davis,South Carolina,5,5
145,Bailey,Banks,Houston Baptist,3,24
149,Bailey,Choy,Utah,4,9
150,Bailey,Smith,ULM,4,19
153,Bella,Baumann,Grand Canyon,3,10
156,Berkeley,Oblad,Utah,4,13
159,Bethany,Randall,Jacksonville State,4,16
161,Bethany,Salapek,Jacksonville,5,6
162,Blaire,Register,UNF,3,1
163,Blaire,Register,UNF,4,1
165,Blake,Sharp,Stanford,5,13
167,Blessings,Dunn,New Orleans,4,8
170,Bozena,Culo,LMU,4,14
172,Brayden,Gruenewald,Cal Poly SLO,4,6
175,Breann,Robinson,San Jose State University,3,9
179,Brennan,Miller,Houston Baptist,4,16
181,Briana,Correa,Tulane,5,10
182,Brianna,Doehrmann,Utah,3,9
186,Brianna,Sizemore,USC,3,6
187,Brianna,Vega,New Orleans,3,10
190,Briannah,Mariner,Cal State Bakersfield,3,12
193,Brie,Gathright,"Cal State University, Sacramento",1,4
196,Brigitte,Murdock,"Cal State University, Sacramento",5,18
197,Brindl,Langley,Boise State,2,12
198,Brittany,Gillingham,Santa Clara,5,2
200,Brittany,Pase,UNF,3,16
205,Brittany,Pellitteri,FAU,5,11
206,Brittany,Velez,College of Charleston,5,1
207,Brook,Bauer,Pepperdine,1,16
209,Brooke,Boiseau,Cal State Bakersfield,4,2
211,Brooke,Burling,Arizona,4,11
