,compID,location,date,college,first_name,last_name,position,result,score,division_y,mu,sigma,name
0,800,"Deland, FL",2018-02-23,Georgia State,Tiffany,Creamer,1,0,"22-24, 21-17, 15-13",DI,22.491677369701627,7.7743633497703355,Tiffany Creamer
1,800,"Deland, FL",2018-02-23,Georgia State,Brooke,Weiner,1,0,"22-24, 21-17, 15-13",DI,22.491677369701627,7.7743633497703355,Brooke Weiner
2,800,"Deland, FL",2018-02-23,South Carolina,Ali,Denney,1,1,"22-24, 21-17, 15-13",DI,28.708322630298365,7.7743633497703355,Ali Denney
3,800,"Deland, FL",2018-02-23,South Carolina,Shannon,Williams,1,1,"22-24, 21-17, 15-13",DI,28.708322630298365,7.7743633497703355,Shannon Williams
0,800,"Deland, FL",2018-02-23,Georgia State,Allie,Elson,2,0,"21-18, 21-14",DI,22.191677369701626,7.7743633497703355,Allie Elson
1,800,"Deland, FL",2018-02-23,Georgia State,Ashley,McGinn,2,0,"21-18, 21-14",DI,22.191677369701626,7.7743633497703355,Ashley McGinn
2,800,"Deland, FL",2018-02-23,South Carolina,Lydia,Dimke,2,1,"21-18, 21-14",DI,28.408322630298365,7.7743633497703355,Lydia Dimke
3,800,"Deland, FL",2018-02-23,South Carolina,Katie,Smith,2,1,"21-18, 21-14",DI,28.408322630298365,7.7743633497703355,Katie Smith
0,800,"Deland, FL",2018-02-23,Georgia State,Eden,Hawes,3,0,"21-16, 21-11",DI,22.091677369701625,7.7743633497703355,Eden Hawes
1,800,"Deland, FL",2018-02-23,Georgia State,Georgia,Johnson,3,0,"21-16, 21-11",DI,22.091677369701625,7.7743633497703355,Georgia Johnson
2,800,"Deland, FL",2018-02-23,South Carolina,Julia,Mannisto,3,1,"21-16, 21-11",DI,28.308322630298363,7.7743633497703355,Julia Mannisto
3,800,"Deland, FL",2018-02-23,South Carolina,Carly,Schneider,3,1,"21-16, 21-11",DI,28.308322630298363,7.7743633497703355,Carly Schneider
0,800,"Deland, FL",2018-02-23,Georgia State,Rebekah,Brodbeck,4,0,"21-12, 21-15",DI,21.991677369701627,7.7743633497703355,Rebekah Brodbeck
1,800,"Deland, FL",2018-02-23,Georgia State,Kate,Novack,4,0,"21-12, 21-15",DI,21.991677369701627,7.7743633497703355,Kate Novack
2,800,"Deland, FL",2018-02-23,South Carolina,Leah,Perri,4,1,"21-12, 21-15",DI,28.208322630298365,7.7743633497703355,Leah Perri
3,800,"Deland, FL",2018-02-23,South Carolina,Macie,Tendrich,4,1,"21-12, 21-15",DI,28.208322630298365,7.7743633497703355,Macie Tendrich
0,800,"Deland, FL",2018-02-23,Georgia State,Maddie,Gordon,5,0,"21-15, 21-19",DI,21.941677369701626,7.7743633497703355,Maddie Gordon
1,800,"Deland, FL",2018-02-23,Georgia State,Amie,Held,5,0,"21-15, 21-19",DI,21.941677369701626,7.7743633497703355,Amie Held
2,800,"Deland, FL",2018-02-23,South Carolina,Hannah,Edelman,5,1,"21-15, 21-19",DI,28.158322630298365,7.7743633497703355,Hannah Edelman
3,800,"Deland, FL",2018-02-23,South Carolina,Franky,Harrison,5,1,"21-15, 21-19",DI,28.158322630298365,7.7743633497703355,Franky Harrison
0,801,"Deland, FL",2018-02-23,FAU,Gabrielle,Dischler,1,0,"12-21, 21-17, 15-6",DI,22.491677369701627,7.7743633497703355,Gabrielle Dischler
1,801,"Deland, FL",2018-02-23,FAU,Jessalyn,Kinlaw,1,0,"12-21, 21-17, 15-6",DI,22.491677369701627,7.7743633497703355,Jessalyn Kinlaw
2,801,"Deland, FL",2018-02-23,Florida State,Macy,Jerger,1,1,"12-21, 21-17, 15-6",DI,28.708322630298365,7.7743633497703355,Macy Jerger
3,801,"Deland, FL",2018-02-23,Florida State,Victoria,Paranagua,1,1,"12-21, 21-17, 15-6",DI,28.708322630298365,7.7743633497703355,Victoria Paranagua
