,Position,TeamAPlayer1,TeamAPlayer2,TeamBPlayer1,TeamBPlayer2,Winner,Loser,Compid,Event Date
780,1,Alexandra Spadaro,Nikki McDaniel,Kristen Brooks,Samantha Perillo,Webber,Stevenson,780,20170316
780,2,Carlee Baxter,Tessa Colden,Lauren Weaver,Katie Leftridge,Webber,Stevenson,780,20170316
780,3,Brianna Baez,Michelle Calderon,Trang Christensen,Grace Coleman,Webber,Stevenson,780,20170316
780,4,Amber Lake,Hannah Tannone,Darian Hileman,Megan Hren,Webber,Stevenson,780,20170316
780,5,Katie Schueman,Laura Embry,Deanna Bradbury,Chelsea  Ireland,Webber,Stevenson,780,20170316
781,1,Lauren Weaver,Katie Leftridge,Cha Cha Fisher,Emelie Frederikson,Stevenson,Principia,781,20170318
781,2,Grace Coleman,Trang Christensen,Nikki Matters,Devon Marunde,Stevenson,Principia,781,20170318
781,3,Sara  Bollinger,Samantha Perillo,Noelle Shoemake,Sophia Hathaway,Principia,Stevenson,781,20170318
781,4,Darian Hileman,Megan Hren,Makena Patterson,Victoria Vandiver,Stevenson,Principia,781,20170318
781,5,Deanna Bradbury,Chelsea  Ireland,Amanda Roberts,Mesa Goebel,Stevenson,Principia,781,20170318
782,1,Kristen Brooks,Samantha Perillo,Noelle Shoemake,Sophia Hathaway,Stevenson,Principia,782,20170422
782,2,Lauren Weaver,Katie Leftridge,Emelie Frederikson,Nikki Matters,Stevenson,Principia,782,20170422
782,3,Grace Coleman,Trang Christensen,Devon Marunde,Cha Cha Fisher,Stevenson,Principia,782,20170422
782,4,Darian Hileman,Sara  Bollinger,Makena Patterson,Victoria Vandiver,Stevenson,Principia,782,20170422
782,5,Megan Hren, Victoria  Prokic,Emily Tippetts,Amanda Roberts,Stevenson,Principia,782,20170422
783,1,Samantha Perillo,Kristen Brooks,Noelle Shoemake,Sophia Hathaway,Stevenson,Principia,783,20170423
783,2,Lauren Weaver,Katie Leftridge,Emelie Frederikson,Nikki Matters,Stevenson,Principia,783,20170423
783,3,Grace Coleman,Trang Christensen,Devon Marunde,Cha Cha Fisher,Stevenson,Principia,783,20170423
783,4,Darian Hileman,Sara  Bollinger,Victoria Vandiver,Makena Patterson,Stevenson,Principia,783,20170423
783,5,Chelsea  Ireland,Deanna Bradbury,Amanda Roberts,Emily Tippetts,Stevenson,Principia,783,20170423
784,1,Lexi Wick ,Kyra Henderson ,Cha Cha Fisher,Sophia Hathaway,Texas A&M; Kingsville,Principia,784,20170303
784,2,Gabby Atchley,Kelby Sprinkles,Emily Tippetts,Nikki Matters,Texas A&M; Kingsville,Principia,784,20170303
784,3,Kadi Shipman,Kat Evans,Makena Patterson,Noelle Shoemake,Texas A&M; Kingsville,Principia,784,20170303
784,4,Haley Hutchinson ,Malee Sowa,Amanda Roberts,Devon Marunde,Texas A&M; Kingsville,Principia,784,20170303
784,5,Madison Brabham,Paige Lanam,Mia Gill,Zoe Mahler,Texas A&M; Kingsville,Principia,784,20170303
