,division,college,first_name,last_name,mu,sigma
0,DI,Jacksonville,Forfeit,1,21.209349802913486,7.530336426925403
1,DI,Santa Clara,Forfeit,1,17.67840757369033,7.428001384953986
2,DI,Jacksonville,Forfeit,2,21.209349802913486,7.530336426925403
3,DI,Santa Clara,Forfeit,2,17.67840757369033,7.428001384953986
4,DI,Long Beach State,Kristyna,Adamcikova,36.75970971206413,3.6692054167434556
5,DI,UAB,Kenley,Adams,40.82505189093103,3.3681980551253274
6,DI,Oregon,Taylor,Agost,22.605400926417346,5.11254156501471
7,DI,Nebraska,Annika,Albrecht,33.49810170969256,4.435028396996578
8,DI,LSU,Emmy,Allen,34.36434601862876,2.5201552542985604
9,DI,Boise State,Jensen,Allen,31.045682138992397,4.677381573359764
10,DI,Morehead State,Liz,Allen,19.170630172507405,6.641433936949204
11,DI,FGCU,Mackenzie,Allen,36.05294035692216,3.8382267098243807
12,DI,LSU,Ashley,Allmer,36.37238366835706,5.385167997604852
13,DI,Utah,Adore,Anae,46.292643184123406,3.951189233257954
14,DI,Washington,Jordan,Anderson,43.50646012024342,3.2978126774518413
15,DI,Stanford,Kat,Anderson,22.830078829408038,3.872994779010886
16,DI,Jacksonville State,Sadie,Anderson,20.181345157351675,4.8671406241626975
17,DI,Cal Poly SLO,Sjea,Anderson,28.158322630298365,7.7743633497703355
18,DI,San Jose State University,Luiza,Andrade,23.185215363643085,3.6007443553541245
19,DI,"Cal State University, Sacramento",Cianna,Andrews,23.998064904616,5.681276116109762
20,DI,Arizona,Natalie,Anselmo,44.35946994434358,2.999010493254594
21,DI,USF,Camille,Araujo,23.826734768551212,3.859087643670197
22,DI,TCU,Avery,Arellano,27.669459234725775,3.292911261384079
23,DI,Houston Baptist,Kayla,Armer,34.07430187377636,3.07365249766506
24,DI,UNC Wilmington,Kyla,Augustine,30.203672077544724,7.026608747832495
25,DI,San Jose State University,Summer,Avery,27.31431586690886,4.788767468155758
26,DI,Jacksonville,Shelby,Babowicz,16.851472066255948,3.9225925475366266
27,DI,Arizona,Jonny,Baham,36.82610383205977,2.964145565933474
28,DI,Pepperdine,Kaity,Bailey,21.335039730421265,6.680956182383589
29,DI,Washington,Kara,Bajema,27.984507210942123,3.3636284823963765
30,DI,ASU,Kate,Baldwin,29.9337587076047,3.1574821813625977
31,DI,New Mexico,Eastyn,Baleto,30.799168505457946,3.7110817861129024
32,DI,LSU,Tatum,Ballard,30.982422882762556,7.27521913847221
33,DI,Houston Baptist,Bailey,Banks,26.955725145415972,3.2035072392081045
34,DI,Pacific,Emily,Baptista,22.04569782144037,4.074263382755816
35,DI,Cal State Bakersfield,Ally,Barber,14.081384452105015,4.364802539038016
36,DI,Long Beach State,Nele,Barber,51.017767711628494,3.04137762590272
37,DI,Cal,Bryce,Bark,32.93300033024774,2.7556083567325764
38,DI,Portland,Katie,Barker,25.081555204666753,4.710122960516718
39,DI,Utah,Dani,Barton,46.292643184123406,3.951189233257954
40,DI,South Carolina,Cadie,Bates,41.19629862510042,3.1002043444545473
41,DI,Georgia State,Ashley,Bauchert,27.19516687702181,5.511288822344081
42,DI,Pepperdine,Brook,Bauer,46.143886284659,2.9115942266506267
43,DI,Grand Canyon,Bella,Baumann,29.004073315841175,3.5663404851094302
44,DI,Saint Mary's,Madison,Baumann,25.0,8.333333333333334
45,DI,Tulane,Gabriella,Becerra,25.23605548371091,2.7798185952945067
46,DI,Coastal Carolina,Haylie,Beck,18.06732915526411,6.504211091503405
47,DI,Missouri State,Maddie,Beck,18.65472434076532,7.489952762705306
48,DI,College of Charleston,Allison,Beckman,31.565258767929784,3.1714612659504877
49,DI,New Mexico,Carly,Beddingfield,19.00022913098116,4.090776637115403
50,DI,Jacksonville,Shaylee,Befus,18.701785855984237,4.314930972555074
51,DI,Cal Poly SLO,Dora,Beilin,24.99964331067497,7.1957323074882575
52,DI,USC,Jenna,Belton,36.071979365448726,2.5846700386327197
53,DI,TCU,Jillian,Bergeson,32.32553744354694,2.939178584645586
54,DI,FIU,Lina,Bernier,33.404917906502504,3.065049475071668
55,DI,FIU,Madison,Besterfield,30.826003432720334,3.996866166092341
56,DI,FIU,Estefanie,Bethancourt,30.3973145616493,2.9633429647187217
57,DI,FIU,Margherita,Bianchin,47.81164079392593,3.2342727270217444
58,DI,Saint Mary's,Emily,Bible,36.68848664694646,3.208842357639224
59,DI,Stetson,Quinci,Birker,28.660932281205024,3.406108111870239
60,DI,USF,Sabrina,Blackwell,21.258904553641813,3.9459330749133814
61,DI,TCU,Jensyn,Bledsoe,30.366079502918975,3.0392838205027206
62,DI,Jacksonville State,Sam,Bogdan,16.552603484221713,6.332662370862103
63,DI,UAB,Erin,Bognar,22.962318082811258,3.6144098724269096
64,DI,Cal State Bakersfield,Brooke,Boiseau,18.364578320154898,6.916663806488228
