,Name,Year,Height,Hometown/HS,Team,mu,sigma
0,Alyssa Slagerman,Fr,5'7,"Brentwood, Ca",UCLA,25.0,8.33333333333
1,Cami Sanchez,Fr,5'10,"Fountain Valley, Ca",UCLA,25.0,8.33333333333
2,Chanti Holroyd,So,5-9,"Mountain View, California",UCLA,28.3042025222,6.70454149324
3,Elise Zappia,Sr,5'8,"Huntington Beach, California",UCLA,36.0168879019,2.48379807596
4,Hannah Phair,Fr,5'10,"Huntington Beach, Ca",UCLA,25.0,8.33333333333
5,Izzy Carey,Jr,5-11,"Westlake Village, California",UCLA,34.3738539701,2.6561083185
6,Jamie McQuarrie,Fr,6'0,"Encinitas, Ca",UCLA,29.266552785,7.48540052191
7,Lexi Jasper-Baylin,Sr,5'6,"El Cajon, Ca",UCLA,25.0,8.33333333333
8,Lily Justine,So,5-10,"Chico, California",UCLA,43.6815157576,2.82441771135
9,Mac May,Fr,6'3,"Dubuque, IA",UCLA,33.3794955087,2.6160076398
10,Madi Yeomans,So,6-0,"Ocean Beach, California",UCLA,32.8378040015,3.45790177208
11,Megan McNamara,Jr,5-9,"Vancouver, BC, Canada",UCLA,40.1755178349,2.4413230531
12,Megan Muret,Fr,5'9,"Encinitas, Ca",UCLA,34.3738539701,2.6561083185
13,Nicole McNamara,Jr,5-9,"Vancouver, BC, Canada",UCLA,40.1755178349,2.4413230531
14,Remy Wilson,So,6'0,"Newport Beach, Ca",UCLA,25.0,8.33333333333
15,Sarah Sponcil,Sr,5'10,"Phoenix, Az",UCLA,25.0,8.33333333333
16,Savvy Simo,So,5'10,"Rancho Santa Fe, Ca",UCLA,33.8124222767,2.58086386898
17,Zana Muno,Jr,5'10,"Hermosa Beach, Ca",UCLA,39.0939214549,3.16093244349
18,Alaina Chacon,Fr,5'9,"Crown Point, Ind",Florida State,31.6740731261,6.20661914161
19,Ali Eager,Jr,5'11,"Southlake, Tx",Florida State,30.909334567,6.89023362575
20,Ashley Robert,Fr,5'5,"McKinney, Tx",Florida State,25.0,8.33333333333
21,Avery Poppinga,Fr,5'11,"Austin, Tx",Florida State,25.0,8.33333333333
22,Bailey Reardon,Fr,5'9,"Milton, Ga",Florida State,25.0,8.33333333333
23,Breana Edwards,R-Jr,6'3,"Jacksonville, Fl",Florida State,25.0,8.33333333333
24,Brooke Kuhlman,Jr,5'10,"Naples, Fl",Florida State,31.0658180349,2.6929053771
25,Devan Hultquist,R-So,5'6,"Tallahassee, Fl",Florida State,25.0,8.33333333333
