,College,Team Name,Location,Division
0,Abilene Christian,Wildcats,"Abilene, Tx",DI
1,Antelope Valley College,Marauders,"Los Angeles, Ca",Community College
2,Arizona,Wildcats,"Tucson, Az",DI
3,ASU,Sun Devils,"Tempe, Az",DI
4,Austin Peay State ,Governors,"Clarksville, Tn",DI
5,Bakersfield College,Renegades,"Bakersfield, Ca",Community College
6,Benedictine,Ravens,"Mesa, Az",NAIA
7,Boise State,Broncos,"Boise, Id",DI
8,Cabrillo,Seahawks,"Aptos, Ca",Community College
9,Cal,Bears,"Berkeley,Ca",DI
10,Cal Poly SLO,Mustangs,"San Luis Obispo, Ca",DI
11,Cal State Bakersfield,Roadrunners,"Bakersfield, Ca",DI
12,Cal State Northridge,Matadors,"Northridge, Ca",DI
13,"Cal State University, Sacramento",Hornets,"Sacramento, Ca",DI
14,Carson-Newman,Eagles,"Jefferson City, Tn",DII
15,Central Arkansas,Bears,"Conway, Ar",DI
16,Coastal Carolina,Chanticleers,"Conway, SC",DI
17,College of Charleston,Cougars,"Charleston, SC",DI
18,College of the Desert,Roadrunners,"Palm Desert, Ca",Community College
19,College of the Redwoods,Redwood Tree,"Eureka, Ca",Community College
20,Colorado Mesa,Mavericks,"Grand Junction, Co",DII
21,Concordia,Eagles,"Irvine, Ca",DII
22,CSULA,Golden Eagles,"Los Angeles, Ca",DII
23,Cypress College,Chargers,"Cypress, Ca",Community College
24,Eastern Kentucky,Colonels,"Richmond, Ky",DI
25,Eckerd ,Tritons,"St Petersburg, Fl",DII
26,El Camino College,Warriors,"Torrance, Ca",Community College
27,FAU,Owls,"Boca Raton, Fl",DI
28,Feather River College,Golden Eagles,"Quincy, Ca",Community College
29,FGCU,Eagles,"Fort Myers, Fl",DI
30,FIU,Panthers,"University Park, Fl",DI
31,Florida Southern,Moccasins,"Lakeland, Fl",DII
32,Florida State,Seminoles,"Tallahassee, Florida",DI
33,Foothill College,Owls,"Los Altos, Ca",Community College
34,Fullerton College,Hornets,"Fullerton, Ca",Community College
35,Gavilan College,Rams,"Gilroy, Ca",Community College
36,Georgia State,Panthers,"Atlanta, Ga",DI
37,Golden West College,Rustler Sam,"Huntington Beach, Ca",Community College
38,Grand Canyon,Lopes,"Phoenix, Az",DI
39,Grossmont College,Griffin,"El Cajon, Ca",Community College
40,Hawaii,Rainbow Warriors,"Manoa, Hawaii",DI
41,Houston Baptist,Huskies,"Houston, Tx",DI
42,Huntingdon,"Montgomery, Al",Hawks,DIII
43,Irvine Valley College,Laser,"Irvine, Ca",Community College
44,Jacksonville,Dolphins,"Jacksonville, Fl",DI
45,Jacksonville State,Gamecocks,"Jacksonville, Al",DI
46,Lincoln Memorial,Railsplitters,"Harrogate, Tenn",DII
