,date,compID,location,first_name,last_name,name,position,primary position,college,division,result,mu,sigma,Partner
0,2018-02-23,800,"Deland, FL",Katie,Smith,Katie Smith,2,2,South Carolina,DI,1,29.758322630298363,7.7743633497703355,Lydia Dimke (29.7583226303)
1,2018-02-23,803,"Deland, FL",Katie,Smith,Katie Smith,2,2,South Carolina,DI,1,34.33630366043281,7.263224372366562,Carly Schneider (33.8363036604)
2,2018-02-24,823,"Deland, FL",Katie,Smith,Katie Smith,2,2,South Carolina,DI,0,32.2617631127804,6.762595977535779,Carly Schneider (31.7617631128)
3,2018-02-24,828,"Deland, FL",Katie,Smith,Katie Smith,2,2,South Carolina,DI,1,34.750270362871646,6.5477982347391155,Carly Schneider (34.2502703629)
4,2018-03-03,937,"St Augustine, Fl",Katie,Smith,Katie Smith,2,2,South Carolina,DI,1,37.63677110428223,6.317648377825703,Cadie Bates (28.6526930944)
5,2018-03-03,938,"St Augustine, Fl",Katie,Smith,Katie Smith,2,2,South Carolina,DI,1,40.68848668746004,6.043667938479597,Cadie Bates (32.4682346767)
6,2018-03-04,969,"St. Augustine, Fl",Katie,Smith,Katie Smith,2,2,South Carolina,DI,0,40.34956052060283,5.732493924696913,Cadie Bates (31.2012472329)
7,2018-03-04,972,"St Augustine, Fl",Katie,Smith,Katie Smith,2,2,South Carolina,DI,1,43.680952628399716,5.486717825532833,Cadie Bates (35.1885084129)
8,2018-03-10,1049,"Columbia, S.C.",Katie,Smith,Katie Smith,2,2,South Carolina,DI,1,45.519487576072066,5.432216455604244,Cadie Bates (37.0911838951)
9,2018-03-10,1050,"Columbia, S.C.",Katie,Smith,Katie Smith,2,2,South Carolina,DI,1,47.611533780144974,5.3152869303629044,Cadie Bates (39.3294700316)
10,2018-03-17,1149,"Columbia, SC",Katie,Smith,Katie Smith,2,2,South Carolina,DI,1,52.574434029559136,4.9740743300549575,Cadie Bates (45.3228693947)
11,2018-03-17,1157,"Columbia, SC",Katie,Smith,Katie Smith,2,2,South Carolina,DI,0,53.9388548876081,4.886692508990914,Cadie Bates (46.6150382939)
12,2018-03-18,1192,"Columbia, S.C.",Katie,Smith,Katie Smith,2,2,South Carolina,DI,1,55.85735901882569,4.804718772041476,Cadie Bates (48.5983594405)
13,2018-03-18,1201,"Columbia, S.C.",Katie,Smith,Katie Smith,2,2,South Carolina,DI,1,57.5140899634166,4.80224023063282,Cadie Bates (50.256644749)
14,2018-03-24,1274,"Columbia, S.C.",Katie,Smith,Katie Smith,2,2,South Carolina,DI,1,59.35355818670265,4.745613067933935,Cadie Bates (52.1397815227)
15,2018-03-24,1289,"Columbia, S.C.",Katie,Smith,Katie Smith,2,2,South Carolina,DI,1,62.77752224521173,4.500862538635441,Cadie Bates (55.9602525479)
16,2018-03-25,1324,"Columbia, SC",Katie,Smith,Katie Smith,2,2,South Carolina,DI,1,64.47592244387286,4.48069381510796,Cadie Bates (57.6679844959)
17,2018-03-25,1325,"Columbia, S.C.",Katie,Smith,Katie Smith,2,2,South Carolina,DI,1,66.12902293723384,4.4796981209303794,Cadie Bates (59.321675892)
18,2018-03-30,1350,"Miami, Fl",Katie,Smith,Katie Smith,2,2,South Carolina,DI,1,67.80230232758937,4.469229022769342,Cadie Bates (60.9993862391)
19,2018-03-30,1362,"Miami, Fl",Katie,Smith,Katie Smith,2,2,South Carolina,DI,1,69.45247354631385,4.4698859597118945,Cadie Bates (62.6495898406)
20,2018-03-31,1410,"Miami, Fl",Katie,Smith,Katie Smith,2,2,South Carolina,DI,0,69.71032597269213,4.2560390830718635,Cadie Bates (57.23397625)
21,2018-04-13,1602,"Columbia, S.C.",Katie,Smith,Katie Smith,3,2,South Carolina,DI,1,70.86035251469501,4.2568374292134985,Cadie Bates (58.384003092)
22,2018-04-13,1603,"Columbia, S.C.",Katie,Smith,Katie Smith,2,2,South Carolina,DI,0,70.47462449765837,4.015437097151056,Cadie Bates (57.9752792641)
23,2018-04-14,1648,"Columbia, S.C.",Katie,Smith,Katie Smith,2,2,South Carolina,DI,1,72.12462921410706,4.0162981587618045,Cadie Bates (59.6252840271)
24,2018-04-14,1649,"Columbia, S.C.",Katie,Smith,Katie Smith,2,2,South Carolina,DI,1,74.25021531783244,3.9155834341850633,Cadie Bates (61.7555631398)
25,2018-04-20,1716,"Emerson, Ga",Katie,Smith,Katie Smith,1,2,South Carolina,DI,1,78.99701980830545,3.718632173530812,Cadie Bates (66.5266214337)
26,2018-04-20,1720,"Emerson, Ga",Katie,Smith,Katie Smith,1,2,South Carolina,DI,1,87.00998666482882,3.512179289726223,Cadie Bates (74.5882857052)
27,2018-04-21,1765,"Emerson, Ga",Katie,Smith,Katie Smith,1,2,South Carolina,DI,1,89.1947153791283,3.5006772533469888,Cadie Bates (76.7732673692)
28,2018-04-21,1767,"Emerson, Ga",Katie,Smith,Katie Smith,1,2,South Carolina,DI,1,91.37787652869568,3.489674707007879,Cadie Bates (78.956668176)
29,2018-04-21,1774,"Emerson, Ga",Katie,Smith,Katie Smith,1,2,South Carolina,DI,0,92.48875373580098,3.3712047831976246,Cadie Bates (80.0600919292)
30,2018-04-22,1800,"Emerson, Ga    (Semis)",Katie,Smith,Katie Smith,1,2,South Carolina,DI,0,94.62939169107982,3.3681131286802066,Cadie Bates (82.2006676485)
31,2018-05-04,1874,"Gulf Shores, Al",Katie,Smith,Katie Smith,1,2,South Carolina,DI,0,96.7701542227091,3.3650735551120134,Cadie Bates (84.3413689612)
