,date,compID,location,first_name,last_name,name,position,primary position,college,division,result,mu,sigma,Partner,Opponent 1,Opponent 2
0,2018-02-24,832,"Honolulu, HI",Sarah,Sponcil,Sarah Sponcil,2,2,UCLA,DI,1,30.358322630298364,7.7743633497703355,Lily Justine (30.3583226303),Morgan Hentz (24.1416773697),Amelia Smith (24.1416773697)
1,2018-02-24,844,"Honolulu, Hi",Sarah,Sponcil,Sarah Sponcil,2,2,UCLA,DI,0,29.705403118758763,7.264579452500544,Lily Justine (29.7054031188),Emily Maglio (35.3580844981),Ka'iwi Schucht (35.3580844981)
2,2018-02-25,860,"Honolulu, Hi",Sarah,Sponcil,Sarah Sponcil,2,2,UCLA,DI,1,33.33870864872632,6.934427378933481,Lily Justine (33.3387086487),Morgan Hentz (24.6597749057),Amelia Smith (24.6597749057)
3,2018-02-25,868,"Honolulu, Hi",Sarah,Sponcil,Sarah Sponcil,2,2,UCLA,DI,0,33.58454131500202,6.558363141788173,Lily Justine (33.584541315),Emily Maglio (39.8014769366),Ka'iwi Schucht (39.8014769366)
4,2018-02-28,876,"Los Angeles, Ca",Sarah,Sponcil,Sarah Sponcil,2,2,UCLA,DI,1,38.404208853728576,6.158216512075109,Lily Justine (38.4042088537),Brook Bauer (34.2565090502),Madalyn Roh (34.2565090502)
5,2018-02-28,877,"Los Angeles, Ca",Sarah,Sponcil,Sarah Sponcil,2,2,UCLA,DI,1,41.96289875436348,5.884068851665282,Lily Justine (41.9628987544),Brook Bauer (35.1232776715),Madalyn Roh (35.1232776715)
6,2018-02-28,878,"Los Angeles, CA",Sarah,Sponcil,Sarah Sponcil,2,2,UCLA,DI,1,44.778340076757736,5.729212472842203,Lily Justine (44.7783400768),Joy Dennis (34.6365622649),Brianna Sizemore (34.6365622649)
7,2018-03-03,925,"Malibu, CA",Sarah,Sponcil,Sarah Sponcil,2,2,UCLA,DI,1,48.408337682631036,5.459961781051348,Lily Justine (48.4083376826),Sammy Slater (47.9774093301),Brianna Sizemore (37.5221167472)
8,2018-03-03,929,"Malibu, CA",Sarah,Sponcil,Sarah Sponcil,2,2,UCLA,DI,0,48.47360813165785,5.1531658156138125,Lily Justine (48.4736081317),Deahna Kraft (51.2341395643),Corinne Quiggle (51.2341395643)
9,2018-03-08,1003,"Los Angeles, Ca",Sarah,Sponcil,Sarah Sponcil,2,2,UCLA,DI,1,51.41085862118306,5.011885515377863,Lily Justine (51.4108586212),Emily Maglio (43.359895259),Ka'iwi Schucht (43.359895259)
10,2018-03-08,1005,"Los Angeles, Ca",Sarah,Sponcil,Sarah Sponcil,2,2,UCLA,DI,1,54.232296004799416,4.877715603299358,Lily Justine (54.2322960048),Sara Kovac (46.0185772299),Jessie Prichard (46.0185772299)
11,2018-03-10,1042,"Manhattan Beach, Ca",Sarah,Sponcil,Sarah Sponcil,2,2,UCLA,DI,1,56.491608345964295,4.87341770565412,Lily Justine (56.491608346),Haleigh Nelson (36.1834887684),Hunter Domanski (36.3093506084)
12,2018-03-10,1054,"Manhattan Beach, Ca",Sarah,Sponcil,Sarah Sponcil,2,2,UCLA,DI,1,58.75841506358497,4.865888152492445,Lily Justine (58.7584150636),Dorina Klinger (43.0516689164),Lina Bernier (36.1390381734)
13,2018-03-11,1075,"Manhattan Beach, Ca",Sarah,Sponcil,Sarah Sponcil,2,2,UCLA,DI,0,56.40553950006868,4.565946145691294,Lily Justine (56.4055395001),Vanessa Freire (49.3313583615),Sara Putt (55.6570566109)
14,2018-03-11,1079,"Manhattan Beach, Ca",Sarah,Sponcil,Sarah Sponcil,2,2,UCLA,DI,1,58.66460377949983,4.562082667818324,Lily Justine (58.6646037795),Molly Scheel (41.8989987061),Jensyn Bledsoe (36.1775747522)
15,2018-03-17,1180,"Santa Monica, Ca",Sarah,Sponcil,Sarah Sponcil,2,2,UCLA,DI,1,60.91468545169342,4.5627900292897605,Lily Justine (60.9146854517),Aubrey Cheffey (29.6757643943),Julia Hanson (29.6757643943)
16,2018-03-17,1183,"Santa Monica, Ca",Sarah,Sponcil,Sarah Sponcil,2,2,UCLA,DI,1,63.427992517097245,4.487946074817767,Lily Justine (63.4279925171),Sara Kovac (53.4271018001),Jessie Prichard (53.4271018001)
17,2018-03-24,1261,"Ocean Park, Ca",Sarah,Sponcil,Sarah Sponcil,2,2,UCLA,DI,1,65.67907825871873,4.488082863819301,Lily Justine (65.6790782587),Natalie Braun (38.3429560835),Frances Giedraitis (43.7288958913)
18,2018-03-24,1267,"Ocean Park, Ca",Sarah,Sponcil,Sarah Sponcil,2,2,UCLA,DI,1,67.96656185451212,4.47278904008924,Lily Justine (67.9665618545),Olivia Hallaran (52.3106555462),Kacey Nady (52.3106555462)
19,2018-03-25,1310,"Ocean Park, Ca",Sarah,Sponcil,Sarah Sponcil,2,2,UCLA,DI,1,70.90615453698689,4.341377595400763,Lily Justine (70.906154537),Jessica Gaffney (64.6805896372),Iya Lindahl (64.6805896372)
20,2018-03-25,1312,"Ocean Park, Ca",Sarah,Sponcil,Sarah Sponcil,2,2,UCLA,DI,0,68.02554282891883,4.1326988572745185,Lily Justine (68.0255428289),Destiny Julye (60.8329189511),Courtney Schwan (60.8329189511)
21,2018-03-27,1329,"Los Angeles, Ca",Sarah,Sponcil,Sarah Sponcil,2,2,UCLA,DI,0,70.09048780633908,4.081244718483589,Lily Justine (70.0904878063),Deahna Kraft (80.3905877205),Corinne Quiggle (80.3905877205)
22,2018-03-30,1352,"Miami, Fl",Sarah,Sponcil,Sarah Sponcil,2,2,UCLA,DI,0,69.43597730388926,3.8754309784703618,Lily Justine (69.4359773039),Katie Horton (66.390819543),Hailey Luke (66.390819543)
23,2018-03-30,1357,"Miami, Fl",Sarah,Sponcil,Sarah Sponcil,2,2,UCLA,DI,1,71.69602603217308,3.8717911756513876,Lily Justine (71.6960260322),Dorina Klinger (52.7664412901),Anabela Sataric (55.8726976274)
24,2018-03-30,1370,"Miami, Fl",Sarah,Sponcil,Sarah Sponcil,2,2,UCLA,DI,1,74.19541144128421,3.808589434182425,Lily Justine (74.1954114413),Gabrielle Dischler (65.7857048021),Jessalyn Kinlaw (65.7857048021)
25,2018-03-31,1402,"Miami, Fl",Sarah,Sponcil,Sarah Sponcil,2,2,UCLA,DI,1,76.44546979840388,3.809463185639667,Lily Justine (76.4454697984),Jessica Stansfield (50.8440326698),Bella Baumann (48.1988187298)
26,2018-03-31,1410,"Miami, Fl",Sarah,Sponcil,Sarah Sponcil,2,2,UCLA,DI,1,79.6031976884096,3.686390252660098,Lily Justine (79.6031976884),Katie Smith (83.8118862902),Cadie Bates (68.8444144213)
27,2018-04-04,1463,"Los Angeles, Ca",Sarah,Sponcil,Sarah Sponcil,2,2,UCLA,DI,1,82.40166257364146,3.5966800964293673,Lily Justine (82.4016625736),Anete Brinke (65.0500968157),Sasha Karelov (89.229175305)
28,2018-04-04,1466,"Los Angeles, Ca",Sarah,Sponcil,Sarah Sponcil,2,2,UCLA,DI,1,86.00614304523965,3.4554560523861704,Lily Justine (86.0061430452),Terese Cannon (85.921146825),Sammy Slater (85.28107295)
29,2018-04-07,1522,"Stanford, Ca",Sarah,Sponcil,Sarah Sponcil,2,2,UCLA,DI,1,88.26645028354497,3.452267501793028,Lily Justine (88.2664502835),Emily Bible (71.9736115552),Lindsey Knudsen (71.9736115552)
30,2018-04-07,1523,"Stanford, Ca",Sarah,Sponcil,Sarah Sponcil,2,2,UCLA,DI,1,90.71344967424722,3.4114371764569094,Lily Justine (90.7134496742),Sam Manley (81.946949738),Emily Sonny (81.946949738)
31,2018-04-08,1579,"Stanford, Ca",Sarah,Sponcil,Sarah Sponcil,2,2,UCLA,DI,1,92.96344967424723,3.4124548426838666,Lily Justine (92.9634496742),Roni Long (60.0657217791),Kaitlyn Lines (33.5736088818)
32,2018-04-08,1580,"Stanford, Ca",Sarah,Sponcil,Sarah Sponcil,2,2,UCLA,DI,1,95.22012713471906,3.410531218456087,Lily Justine (95.2201271347),Sunny Villapando (89.3124465936),Courtney Bowen (67.9233517761)
33,2018-04-19,1712,"Long Beach, Ca",Sarah,Sponcil,Sarah Sponcil,2,2,UCLA,DI,1,98.34443259330162,3.314598314561582,Lily Justine (98.3444325933),Rachel Nieto (106.2746409),Megan Kruidhof (85.7458330022)
34,2018-04-26,1823,"Stanford, Ca",Sarah,Sponcil,Sarah Sponcil,2,2,UCLA,DI,1,100.59443263382784,3.3156456712044107,Lily Justine (100.594432634),Tawnee Luafalemana (74.6439886317),Bailey Choy (58.8476566989)
35,2018-04-27,1829,"Stanford, Ca",Sarah,Sponcil,Sarah Sponcil,2,2,UCLA,DI,1,103.66726362748331,3.217027557590596,Lily Justine (103.667263627),Morgan Hentz (101.440232099),Amelia Smith (101.440232099)
36,2018-04-28,1838,"Stanford, Ca",Sarah,Sponcil,Sarah Sponcil,2,2,UCLA,DI,1,106.76743590106969,3.120057145137717,Lily Justine (106.767435901),Terese Cannon (105.384506958),Sammy Slater (104.732955599)
37,2018-04-28,1845,"Stanford, Ca",Sarah,Sponcil,Sarah Sponcil,2,2,UCLA,DI,1,109.9461873616481,3.0234902970591655,Lily Justine (109.946187362),Terese Cannon (109.403101224),Sammy Slater (108.744280247)
38,2018-05-06,1871,"Gulf Shores, Al (NCAA Semis)",Sarah,Sponcil,Sarah Sponcil,2,2,UCLA,DI,1,113.18840917460321,2.9325439985145847,Lily Justine (113.188409175),Morgan Martin (114.372826395),Lea Monkhouse (111.732387604)
