,date,compID,location,first_name,last_name,name,position,primary position,college,division,result,mu,sigma,Partner,Opponent 1,Opponent 2
0,2018-02-23,816,"Phoenix, Az",Torrey,Van Winden,Torrey Van Winden,1,1,Cal Poly SLO,DI,0,24.841677369701625,7.7743633497703355,Tia Miric (24.8416773697),Claire Coppola (31.0583226303),Kristen Nuss (31.0583226303)
1,2018-02-23,818,"Phoenix, Az",Torrey,Van Winden,Torrey Van Winden,1,1,Cal Poly SLO,DI,1,30.611147734051517,7.294123074412246,Tia Miric (30.6111477341),Brook Bauer (24.7105677285),Madalyn Roh (24.7105677285)
2,2018-02-23,870,"Phoenix, Az",Torrey,Van Winden,Torrey Van Winden,1,1,Cal Poly SLO,DI,0,29.905540084074115,6.798482579475751,Tia Miric (29.9055400841),Katie Pyles (33.4464082359),Molly Turner (33.4464082359)
3,2018-02-24,839,"Tempe, Az",Torrey,Van Winden,Torrey Van Winden,1,1,Cal Poly SLO,DI,1,34.30406059283119,6.505065019404944,Tia Miric (34.3040605928),Lauren Stivrins (28.3293689099),Kenzie Maloney (24.6529453659)
4,2018-02-25,861,"Tempe, Az",Torrey,Van Winden,Torrey Van Winden,1,1,Cal Poly SLO,DI,0,36.30175954345416,6.271829336833843,Tia Miric (36.3017595435),Abril Bustamante (45.4391586881),Terese Cannon (45.4391586881)
5,2018-02-25,862,"Tempe, Az",Torrey,Van Winden,Torrey Van Winden,1,1,Cal Poly SLO,DI,1,39.90888534027588,6.1013295579101,Tia Miric (39.9088853403),Kwyn Johnson (29.3270026081),Mia Rivera (29.3270026081)
6,2018-03-03,918,"Fort Worth, TX",Torrey,Van Winden,Torrey Van Winden,1,1,Cal Poly SLO,DI,1,43.32203831297164,5.96782957713436,Tia Miric (43.322038313),Kwyn Johnson (31.6349486236),Mia Rivera (31.6349486236)
7,2018-03-03,932,"Fort Worth, TX",Torrey,Van Winden,Torrey Van Winden,1,1,Cal Poly SLO,DI,1,46.77174247510773,5.823329873468946,Tia Miric (46.7717424751),Haven Hill (35.9438491182),Cassie House (35.9438491182)
8,2018-03-04,966,"Fort Worth, TX",Torrey,Van Winden,Torrey Van Winden,1,1,Cal Poly SLO,DI,0,46.417216296027824,5.4819683259467755,Tia Miric (46.417216296),Kaylie Mchugh (47.649634489),Madeline Mertz (47.649634489)
9,2018-03-17,1141,"Pismo Beach, Ca",Torrey,Van Winden,Torrey Van Winden,1,1,Cal Poly SLO,DI,1,53.04655510221715,5.111486671836795,Tia Miric (53.0465551022),Jillian Bergeson (53.4148056175),Jaelyn Greene (53.4148056175)
10,2018-03-17,1161,"Pismo Beach, Ca",Torrey,Van Winden,Torrey Van Winden,1,1,Cal Poly SLO,DI,1,57.26314860454216,4.91568682239097,Tia Miric (57.2631486045),Natalie Anselmo (52.2282961648),Olivia Macdonald (52.2282961648)
11,2018-03-17,1163,"Honolulu, Hi",Torrey,Van Winden,Torrey Van Winden,1,1,Cal Poly SLO,DI,1,61.148204056526765,4.733917955959296,Tia Miric (61.1482040565),Jillian Bergeson (55.3644081144),Jaelyn Greene (55.3644081144)
12,2018-03-24,1275,"Bakersfield, Ca",Torrey,Van Winden,Torrey Van Winden,1,1,Cal Poly SLO,DI,1,64.45111288946788,4.640596382841609,Tia Miric (64.4511128895),Savannah Slattery (51.7599546713),Jessie Prichard (58.2693613654)
13,2018-03-24,1276,"Bakersfield, Ca",Torrey,Van Winden,Torrey Van Winden,1,1,Cal Poly SLO,DI,1,67.40111393606,4.641343665685473,Tia Miric (67.4011139361),Emily Hansen (30.4318206334),Sydney Haynes (30.4318206334)
14,2018-03-26,1328,"Irvine, Ca",Torrey,Van Winden,Torrey Van Winden,1,1,Cal Poly SLO,DI,1,70.35111439157902,4.642091350600665,Tia Miric (70.3511143916),Lindsey Vander Weide (30.4302249404),August Raskie (27.3428090792)
15,2018-03-30,1361,"Folsom, Ca",Torrey,Van Winden,Torrey Van Winden,1,1,Cal Poly SLO,DI,1,73.32549435620743,4.631890414935874,Tia Miric (73.3254943562),Aeryn Owens (55.6628336419),Katie Sato (55.6628336419)
16,2018-03-30,1386,"Folsom, Ca",Torrey,Van Winden,Torrey Van Winden,1,1,Cal Poly SLO,DI,1,76.27549582948481,4.632638670892437,Tia Miric (76.2754958295),Sarah Davis (42.0887692185),Mikaela Nocetti (42.0887692185)
17,2018-03-31,1432,"Folsom, Ca",Torrey,Van Winden,Torrey Van Winden,1,1,Cal Poly SLO,DI,0,79.22422778214235,4.632537184673901,Tia Miric (79.2242277821),Emily Maglio (101.544169887),Ka'iwi Schucht (101.544169887)
