,name,last_season_end_rating,new_season_start_rating
0,Sara Hughes,113.56652047551567,28.0
1,Kelly Claes,113.56652047551567,28.0
2,Crissy Jones,105.5529263991607,27.0
3,Federica Frasca,102.11274388978921,27.0
4,Leigh Andrew,101.53682456461274,27.0
5,Nicole McNamara,98.94762284056849,27.0
6,Megan McNamara,97.57774910525532,27.0
7,Savannah Slattery,96.91934257777629,27.0
8,Brooke Kuhlman,95.4657193337801,27.0
9,Hannah Hubbard,95.29843957959068,27.0
10,Emily Sonny,95.29843957959062,27.0
11,Sarah Sponcil,94.18528335772669,27.0
12,Madalyn Roh,93.63270332449342,27.0
13,Delaney Knudsen,93.63270332449342,27.0
14,Lindsey Knudsen,93.37609498985334,27.0
15,Payton Rund,93.37609498985334,27.0
16,Vanessa Freire,93.33137012310921,27.0
17,Kristen Nuss,92.43265825947432,27.0
18,Claire Coppola,92.43265825947432,27.0
19,Adrianna Culbert,92.08482638059456,27.0
20,Tia Scambray,91.98361839601716,27.0
21,Jessalyn Kinlaw,91.76579754341545,27.0
22,Margherita Bianchin,91.34665770041495,27.0
23,Nele Barber,89.61728058734616,27.0
24,Rachel Nieto,89.61728058734616,27.0
25,Bianca Arellano,89.20532554023114,27.0
26,Whitney Follette,89.20532554023114,27.0
27,Mikayla Tucker,88.93426005688703,27.0
28,Morgan Martin,88.93426005688703,27.0
29,Chelsea Ross,88.47795288742235,27.0
30,Allie Wheeler,88.1098713999089,27.0
31,Mckenna Witt,88.10426327516828,27.0
32,Madison Witt,88.10426327516828,27.0
33,Adlee Van Winden,87.71459586400626,27.0
34,Maggie Skjelbred,87.34263426348149,25.0
35,Delaney Rohan,86.31189157755531,25.0
36,Katie Smith,86.23158637117078,25.0
37,Megan Rice,86.07167131328838,25.0
38,Kaylie Mchugh,85.68811553563279,25.0
39,Tea Juric,85.68811553563279,25.0
40,Taylor Nelson,85.64901527876027,25.0
41,Kristin Lind,84.95742767487333,25.0
42,Darby Dunn,84.95742767487333,25.0
43,Brittany Howard,84.06834797474085,25.0
44,Corinne Quiggle,84.06834797474085,25.0
45,Molly Turner,83.85238364598712,25.0
46,Lan Nguyen,82.28205912407964,25.0
47,Sophie Bukovec,81.95483799566435,25.0
48,Tjasa Kotnik,81.8524797735671,25.0
49,Nikki Taylor,80.84845459436765,25.0
50,Katarina Raicevic,80.72078903243562,25.0
51,Courtney Miller,80.72078903243562,25.0
52,Terese Cannon,80.49673665829769,25.0
53,Nicolette Martin,80.49673665829769,25.0
54,Ka'iwi Schucht,80.38359498429648,25.0
55,Courtney Schwan,80.35196504875744,25.0
56,Emmy Allen,79.50553662078097,25.0
57,Madeline Mertz,78.77505461471965,25.0
58,Nicole Lott,78.7483365562566,25.0
59,Katie Hogan,78.44327432824362,25.0
60,Taija Thomas,78.39735963049083,25.0
61,Mackenzie Allen,78.32107970741708,25.0
62,Amanda Carroll,78.32107970741708,25.0
63,Tanna Aljoe,77.93696470875904,25.0
64,Elise Zappia,77.9184107798644,25.0
65,Samantha Harris,77.56717237958874,25.0
66,Kathryn Plummer,77.33841153505627,25.0
67,Jenna Gray,77.33841153505627,25.0
68,Haley Pa'akaula,76.91573612300981,25.0
69,Emily Krogman,76.9116076158214,25.0
70,Toni Penrod,76.9116076158214,25.0
71,Jessica Wooten,76.6885629094103,25.0
72,Aeriel Horton,76.6885629094103,25.0
73,Kamila Tan,76.5461087496186,25.0
74,Sarah Chase,76.10516787240745,25.0
75,Emily Bible,76.10516787240745,25.0
76,Madison Berridge,75.82291065880561,25.0
77,Oluoma Okaro,75.82291065880558,25.0
78,Ali Denney,75.58238934673086,25.0
79,Hadley Swartz,75.52607491650949,25.0
80,Victoria Paranagua,75.1987702366237,25.0
81,Madi Yeomans,75.17016695035272,25.0
82,Katie Lindelow,75.09405851627614,25.0
83,Francesca Goncalves,74.54592668356227,25.0
84,Jaelyn Greene,74.50967576917884,25.0
85,Amy Neal,74.50967576917884,25.0
86,Hayley Tippett,74.3986890363477,25.0
87,Sasha Karelov,73.90057976747488,25.0
88,Kobi Pekich,73.90057976747488,25.0
89,Tahleia Bishop,73.74550351921299,25.0
