,date,compID,location,first_name,last_name,name,position,primary position,college,division,result,mu,sigma
0,2018-02-23,800,"Deland, FL",Brooke,Weiner,Brooke Weiner,1,2,Georgia State,DI,0,23.291677369701627,7.7743633497703355
1,2018-02-23,802,"Deland, FL",Brooke,Weiner,Brooke Weiner,1,2,Georgia State,DI,0,22.30424828035012,7.328660215234071
2,2018-02-24,824,"Deland, FL",Brooke,Weiner,Brooke Weiner,2,2,Georgia State,DI,0,21.9540015216823,6.985884001363649
3,2018-03-02,945,"St. Augustine, Fl",Brooke,Weiner,Brooke Weiner,2,2,Georgia State,DI,1,25.835855431110577,6.605349306898068
4,2018-03-03,935,"St. Augustine, Fl",Brooke,Weiner,Brooke Weiner,2,2,Georgia State,DI,1,28.326253563152825,6.342876923390359
5,2018-03-03,936,"St. Augustine, FL",Brooke,Weiner,Brooke Weiner,2,2,Georgia State,DI,1,30.87976444363695,6.06019425938921
6,2018-03-04,968,"St. Augustine, Fl",Brooke,Weiner,Brooke Weiner,2,2,Georgia State,DI,1,32.51118513016939,5.936848458727966
7,2018-03-04,969,"St. Augustine, Fl",Brooke,Weiner,Brooke Weiner,2,2,Georgia State,DI,1,35.799000232787044,5.63077623536849
8,2018-03-06,994,"Atlanta, Ga",Brooke,Weiner,Brooke Weiner,2,2,Georgia State,DI,1,37.32274684916424,5.532847527544201
9,2018-03-06,995,"Atlanta, Ga",Brooke,Weiner,Brooke Weiner,2,2,Georgia State,DI,1,38.582561400523794,5.507840853158007
10,2018-03-10,1044,"Boca Raton, FL",Brooke,Weiner,Brooke Weiner,2,2,Georgia State,DI,1,39.944820137982056,5.457368764786169
11,2018-03-10,1051,"Boca Raton, FL",Brooke,Weiner,Brooke Weiner,2,2,Georgia State,DI,0,38.87809745321618,5.15658777896186
12,2018-03-10,1052,"Boca Raton, FL",Brooke,Weiner,Brooke Weiner,2,2,Georgia State,DI,1,41.467674659892396,4.924052552912793
13,2018-03-17,1144,"Columbia, SC",Brooke,Weiner,Brooke Weiner,2,2,Georgia State,DI,1,43.11128264480379,4.806161012677018
14,2018-03-17,1149,"Columbia, SC",Brooke,Weiner,Brooke Weiner,2,2,Georgia State,DI,0,41.98272837914644,4.563958264395892
15,2018-03-18,1191,"Columbia, S.C.",Brooke,Weiner,Brooke Weiner,2,2,Georgia State,DI,0,43.11097435372438,4.535668499145488
16,2018-03-18,1202,"Columbia, S.C.",Brooke,Weiner,Brooke Weiner,2,2,Georgia State,DI,1,44.33858831458157,4.524989338817981
17,2018-03-23,1228,"Atlanta, GA",Brooke,Weiner,Brooke Weiner,2,2,Georgia State,DI,1,45.59956211939299,4.505476833508232
18,2018-03-23,1233,"Atlanta, Ga",Brooke,Weiner,Brooke Weiner,2,2,Georgia State,DI,1,46.83241771108868,4.492721950921045
