,rank,name,college,division,rating,primary position,date
0,1,Abril Bustamante,USC,DI,155.77076574724447,1,2018-05-05
1,2,Emily Maglio,Hawaii,DI,142.74106773954966,1,2018-05-06
2,3,Ka'iwi Schucht,Hawaii,DI,142.74106773954952,1,2018-05-06
3,4,Nicole McNamara,UCLA,DI,142.26137265102736,1,2018-05-06
4,5,Megan McNamara,UCLA,DI,142.26137265102733,1,2018-05-06
5,6,Victoria Paranagua,Florida State,DI,139.75827797826506,1,2018-05-05
6,7,Tina Graudina,USC,DI,138.3339799311933,1,2018-05-05
7,8,Claire Coppola,LSU,DI,135.5382557724672,1,2018-05-04
8,9,Kristen Nuss,LSU,DI,135.5382557724672,1,2018-05-04
9,10,Vanessa Freire,Florida State,DI,132.29810224124674,1,2018-05-05
10,11,Sasha Karelov,Long Beach State,DI,129.8987446793367,1,2018-04-28
11,12,Nele Barber,Long Beach State,DI,129.68914878156266,1,2018-04-28
12,13,Kaylie Mchugh,Tulane,DI,129.27277526929674,1,2018-04-21
13,14,Madeline Mertz,Tulane,DI,129.27277526929674,1,2018-04-21
14,15,Teegan Van Gunst,Georgia State,DI,125.86620817422234,1,2018-04-21
15,16,Katie Smith,South Carolina,DI,125.54725247436043,2,2018-05-04
16,17,Rachel Nieto,Long Beach State,DI,121.02087278910416,2,2018-04-28
17,18,Annika Van Gunst,Georgia State,DI,120.97865819746269,1,2018-04-21
18,19,Sunny Villapando,Stanford,DI,120.85672944489383,1,2018-04-27
19,20,Mima Mirkovic,Cal,DI,120.54903686013951,1,2018-04-28
20,21,Margherita Bianchin,FIU,DI,120.51987441298579,1,2018-05-04
21,22,Federica Frasca,FIU,DI,120.51987441298579,1,2018-05-04
22,23,Morgan Martin,Hawaii,DI,120.13214635821274,2,2018-05-06
23,24,Deahna Kraft,Pepperdine,DI,119.80648086229971,2,2018-05-05
24,25,Corinne Quiggle,Pepperdine,DI,119.80648086229971,2,2018-05-05
25,26,Aeriel Horton,Houston Baptist,DI,118.9474292083636,1,2018-04-22
26,27,Jessica Wooten,Houston Baptist,DI,118.9474292083636,1,2018-04-22
27,28,Sarah Sponcil,UCLA,DI,118.89135203958902,2,2018-05-06
28,29,Lily Justine,UCLA,DI,118.89135203958902,2,2018-05-06
29,30,Terese Cannon,USC,DI,117.40379128579596,2,2018-05-05
