,Position,Name,Winning Team,Losing Team,Compid,Event Date,Rating Before Match,Rating After Match
1,1,Carly Perales,Stetson,Eckerd,799,2018-02-23,25.0,28.10832239906904
2,1,Sunniva Helland-Hansen,Stetson,Eckerd,799,2018-02-23,25.0,28.108322399069042
3,1,Mackenzie Redner,Stetson,Eckerd,799,2018-02-23,25.0,21.891677600930958
4,1,Savanna Cary,Stetson,Eckerd,799,2018-02-23,25.0,21.891677600930958
5,1,Lauren Stivrins,Nebraska,Benedictine,805,2018-02-23,25.0,28.10832239906904
6,1,Jazz Sweat,Nebraska,Benedictine,805,2018-02-23,25.0,28.108322399069042
7,1,Jackie Woods,Nebraska,Benedictine,805,2018-02-23,25.0,21.891677600930958
8,1,Kat McCullough,Nebraska,Benedictine,805,2018-02-23,25.0,21.891677600930958
9,2,Kelly Hunter,Nebraska,Benedictine,805,2018-02-23,25.0,28.10832239906904
10,2,Annika Albrecht,Nebraska,Benedictine,805,2018-02-23,25.0,28.108322399069042
11,2,Caitlan Sammons,Nebraska,Benedictine,805,2018-02-23,25.0,21.891677600930958
12,2,Sydney Nelson,Nebraska,Benedictine,805,2018-02-23,25.0,21.891677600930958
13,3,Kenzie Maloney,Nebraska,Benedictine,805,2018-02-23,25.0,28.10832239906904
14,3,Sami Slaughter,Nebraska,Benedictine,805,2018-02-23,25.0,28.108322399069042
15,3,Megan Block,Nebraska,Benedictine,805,2018-02-23,25.0,21.891677600930958
16,3,Dani Burke,Nebraska,Benedictine,805,2018-02-23,25.0,21.891677600930958
17,4,Allie Havers,Nebraska,Benedictine,805,2018-02-23,25.0,28.10832239906904
18,4,Jasmine Schmidt,Nebraska,Benedictine,805,2018-02-23,25.0,28.108322399069042
19,4,Anokina Mirzapour,Nebraska,Benedictine,805,2018-02-23,25.0,21.891677600930958
20,4,Kassandra Renteria,Nebraska,Benedictine,805,2018-02-23,25.0,21.891677600930958
21,5,Hayley Densberger,Benedictine,Nebraska,805,2018-02-23,25.0,21.891677600930958
22,5,Anezka Szabo,Benedictine,Nebraska,805,2018-02-23,25.0,21.891677600930958
23,5,Hayden Boucher,Benedictine,Nebraska,805,2018-02-23,25.0,28.10832239906904
24,5,Madison Peters,Benedictine,Nebraska,805,2018-02-23,25.0,28.108322399069042
25,1,Kristen Nuss,LSU,Cal Poly SLO,816,2018-02-23,25.0,28.10832239906904
26,1,Claire Coppola,LSU,Cal Poly SLO,816,2018-02-23,25.0,28.108322399069042
27,1,Torrey Van Winden,LSU,Cal Poly SLO,816,2018-02-23,25.0,21.891677600930958
28,1,Tia Miric,LSU,Cal Poly SLO,816,2018-02-23,25.0,21.891677600930958
29,2,Mandi Orellana,Cal Poly SLO,LSU,816,2018-02-23,25.0,21.891677600930958
30,2,Haleigh Nelson,Cal Poly SLO,LSU,816,2018-02-23,25.0,21.891677600930958
31,2,Sam Manley,Cal Poly SLO,LSU,816,2018-02-23,25.0,28.10832239906904
32,2,Emily Sonny,Cal Poly SLO,LSU,816,2018-02-23,25.0,28.108322399069042
33,3,Olivia Powers,Cal Poly SLO,LSU,816,2018-02-23,25.0,21.891677600930958
34,3,Maddie Ligon,Cal Poly SLO,LSU,816,2018-02-23,25.0,21.891677600930958
35,3,Hannah Hubbard,Cal Poly SLO,LSU,816,2018-02-23,25.0,28.10832239906904
36,3,Raeann Greisen,Cal Poly SLO,LSU,816,2018-02-23,25.0,28.108322399069042
37,4,Emmy Allen,LSU,Cal Poly SLO,816,2018-02-23,25.0,28.10832239906904
38,4,Megan Davenport,LSU,Cal Poly SLO,816,2018-02-23,25.0,28.108322399069042
39,4,Adlee Van Winden,LSU,Cal Poly SLO,816,2018-02-23,25.0,21.891677600930958
40,4,Macy Gordon,LSU,Cal Poly SLO,816,2018-02-23,25.0,21.891677600930958
41,5,Gina Tillis,LSU,Cal Poly SLO,816,2018-02-23,25.0,28.10832239906904
42,5,Emily Hardesty,LSU,Cal Poly SLO,816,2018-02-23,25.0,28.108322399069042
43,5,Brayden Gruenewald,LSU,Cal Poly SLO,816,2018-02-23,25.0,21.891677600930958
