,Name,Year,Height,Hometown/HS,Team,mu,sigma
0,Alyssa Slagerman,Fr,5'7,"Brentwood, Ca",UCLA,25.0,8.333333333333334
1,Cami Sanchez,Fr,5'10,"Fountain Valley, Ca",UCLA,25.0,8.333333333333334
2,Chanti Holroyd,So,5-9,"Mountain View, California",UCLA,28.108322399069042,7.77436345109384
3,Elise Zappia,Sr,5'8,"Huntington Beach, California",UCLA,41.44439951102393,1.9640069338548831
4,Hannah Phair,Fr,5'10,"Huntington Beach, Ca",UCLA,25.0,8.333333333333334
5,Izzy Carey,Jr,5-11,"Westlake Village, California",UCLA,43.57641782553521,1.9640069338548831
6,Jamie McQuarrie,Fr,6'0,"Encinitas, Ca",UCLA,28.10832239906904,7.77436345109384
7,Lexi Jasper-Baylin,Sr,5'6,"El Cajon, Ca",UCLA,25.0,8.333333333333334
8,Lily Justine,So,5-10,"Chico, California",UCLA,43.548657058579664,2.055608074416635
9,Mac May,Fr,6'3,"Dubuque, IA",UCLA,41.44439951102393,1.9640069338548831
10,Madi Yeomans,So,6-0,"Ocean Beach, California",UCLA,33.37761237286297,2.7897340710092795
11,Megan McNamara,Jr,5-9,"Vancouver, BC, Canada",UCLA,42.08179028065577,1.8833034028729432
12,Megan Muret,Fr,5'9,"Encinitas, Ca",UCLA,43.57641782553521,1.9640069338548831
13,Nicole McNamara,Jr,5-9,"Vancouver, BC, Canada",UCLA,42.08179028065577,1.8833034028729432
14,Remy Wilson,So,6'0,"Newport Beach, Ca",UCLA,25.0,8.333333333333334
15,Sarah Sponcil,Sr,5'10,"Phoenix, Az",UCLA,43.548657058579664,2.055608074416635
16,Savvy Simo,So,5'10,"Rancho Santa Fe, Ca",UCLA,43.73683992145705,1.858498583875018
17,Zana Muno,Jr,5'10,"Hermosa Beach, Ca",UCLA,43.73683992145705,1.858498583875018
18,Alaina Chacon,Fr,5'9,"Crown Point, Ind",Florida State,36.08789788548911,2.5898005062696576
19,Ali Eager,Jr,5'11,"Southlake, Tx",Florida State,35.960176752465365,3.712160994206009
20,Ashley Robert,Fr,5'5,"McKinney, Tx",Florida State,25.0,8.333333333333334
21,Avery Poppinga,Fr,5'11,"Austin, Tx",Florida State,25.0,8.333333333333334
22,Bailey Reardon,Fr,5'9,"Milton, Ga",Florida State,25.0,8.333333333333334
23,Breana Edwards,R-Jr,6'3,"Jacksonville, Fl",Florida State,25.0,8.333333333333334
24,Brooke Kuhlman,Jr,5'10,"Naples, Fl",Florida State,41.46511249452975,1.9640069338548831
25,Devan Hultquist,R-So,5'6,"Tallahassee, Fl",Florida State,25.0,8.333333333333334
26,Eva Torruella,R-So,6'0,"San Juan, Puerto Rico",Florida State,43.95178627784402,1.9932270183499219
27,Francesca Goncalves,So,5'10,"Dallas, Tx",Florida State,45.04889587772426,1.9091145528466555
28,Hailey Luke,R-Sr,6'0,"Altamonte Springs, Fl",Florida State,46.47726008054206,1.935993527955682
29,Katie Horton,R-Sr,6'1,"Westland, Mich",Florida State,46.47726008054206,1.935993527955682
30,Lauren Anderson,GS,6'0,"Peoria, Az",Florida State,25.0,8.333333333333334
31,Macy Jerger,Jr,6'1,"Fort Myers, Fl",Florida State,43.771502473592065,1.858498583875018
32,Madison Fitzpatrick,Fr,5'11,"Tallahassee, Fl",Florida State,45.04889587772426,1.9091145528466555
33,Marielle Diaz,Fr,5'6,"Boca Raton, Fl",Florida State,25.0,8.333333333333334
34,Molly McBain,So,5'9,"Toronto, Canada",Florida State,41.46511249452975,1.9640069338548831
35,Nikki Esposito,Jr,5'10,"Deerfield Beach, Fl",Florida State,43.69214436011841,2.1604329520970493
36,Sara Putt,Jr,5'11,"Jupiter, Fl",Florida State,43.771502473592065,1.858498583875018
37,Vanessa Freire,Sr,5'10,"Windermere, Fl",Florida State,40.63830798551294,1.8833034028729432
38,Victoria Paranagua,Sr,5'11,"Austin, Tx",Florida State,40.63830798551294,1.8833034028729432
39,Abril Bustamante,Jr,6'0,"Redondo Beach, Ca",USC,41.35071140789218,1.8833034028729432
40,Alexandra Poletto,GS,6'3,"Toronto, Canada",USC,44.207430664808825,1.9640069338548831
41,Brianna Sizemore,Jr,6'1,"Carlsbad, Ca",USC,35.91616283433839,2.5898005062696576
42,Cammie Dorn,So,6'1,"Laguna Beach, Ca",USC,42.746039472167574,1.8346432398114199
43,Haley Hallgren,Fr,6'1,"Southlake, Tx",USC,44.207430664808825,1.9640069338548831
44,Jenna Belton,Sr,6'1,"Aptos, Ca",USC,44.31781700496066,1.9091145528466555
45,Jo Kremer,Sr,5'8,"Pacific Palisades, Ca",USC,36.60537158517337,2.2391216233559614
