,rank,name,college,division,rating,primary position,date
0,1,Kelly Claes,USC,DI,88.53968496819505,1,2017-05-07
1,2,Sara Hughes,USC,DI,88.53968496819505,1,2017-05-07
2,3,Crissy Jones,Washington,DI,81.44413545915913,1,2017-04-28
3,4,Federica Frasca,FIU,DI,79.21249875105623,1,2017-04-23
4,5,Leigh Andrew,Florida State,DI,78.13404199340911,1,2017-05-06
5,6,Vanessa Freire,Florida State,DI,77.61074423971876,2,2017-05-06
6,7,Nicole McNamara,UCLA,DI,77.51130956788397,1,2017-04-28
7,8,Megan McNamara,UCLA,DI,77.20339742621319,1,2017-04-28
8,9,Savannah Slattery,LMU,DI,75.01436221535944,1,2017-04-22
9,10,Brooke Kuhlman,Florida State,DI,74.70911261395949,1,2017-05-06
10,11,Sarah Sponcil,LMU,DI,74.22361655902333,1,2017-04-22
11,12,Allie Wheeler,USC,DI,73.10079892321512,2,2017-05-07
12,13,Madalyn Roh,Pepperdine,DI,72.71611352264908,1,2017-05-07
13,14,Delaney Knudsen,Pepperdine,DI,72.71611352264905,1,2017-05-07
14,15,Lindsey Knudsen,Saint Mary's,DI,72.49012665141518,1,2017-04-22
15,16,Payton Rund,Saint Mary's,DI,72.49012665141512,1,2017-04-22
16,17,Tia Scambray,Washington,DI,72.14877668287649,1,2017-04-28
17,18,Emily Sonny,Cal Poly SLO,DI,72.080320845172,1,2017-04-29
18,19,Hannah Hubbard,Cal Poly SLO,DI,72.080320845172,1,2017-04-29
19,20,Adlee Van Winden,Cal Poly SLO,DI,71.79958015749638,2,2017-04-29
20,21,Adrianna Culbert,South Carolina,DI,71.71100367074791,1,2017-04-22
21,22,Claire Coppola,LSU,DI,71.69824324316853,1,2017-05-05
22,23,Kristen Nuss,LSU,DI,71.69824324316852,1,2017-05-05
23,24,Jessalyn Kinlaw,FAU,DI,71.03672315294169,1,2017-04-22
24,25,Margherita Bianchin,FIU,DI,70.80031668873727,1,2017-04-23
25,26,Brittany Howard,Pepperdine,DI,70.73177243201184,2,2017-05-07
26,27,Corinne Quiggle,Pepperdine,DI,70.73177243201184,2,2017-05-07
27,28,Taylor Nelson,Cal Poly SLO,DI,70.38097962603538,2,2017-04-29
28,29,Whitney Follette,ASU,DI,69.25055593581803,1,2017-04-27
29,30,Bianca Arellano,ASU,DI,69.25055593581799,1,2017-04-27
30,31,Sophie Bukovec,USC,DI,69.04371885157207,2,2017-05-07
31,32,Madison Witt,Arizona,DI,68.84781984377754,1,2017-04-28
32,33,Mckenna Witt,Arizona,DI,68.84781984377754,1,2017-04-28
33,34,Chelsea Ross,Georgia State,DI,68.7125174210747,1,2017-04-22
34,35,Nele Barber,Long Beach State,DI,68.5352097821592,1,2017-05-05
35,36,Rachel Nieto,Long Beach State,DI,68.5352097821592,1,2017-05-05
36,37,Mikayla Tucker,Hawaii,DI,68.47021864175535,1,2017-05-06
37,38,Morgan Martin,Hawaii,DI,68.47021864175532,1,2017-05-06
38,39,Molly Turner,Grand Canyon,DI,67.83764284655574,1,2017-04-15
39,40,Kristin Lind,Stetson,DI,67.8195709663557,2,2017-04-23
40,41,Darby Dunn,Stetson,DI,67.81957096635566,2,2017-04-23
41,42,Nicolette Martin,USC,DI,67.81532187482863,3,2017-05-07
42,43,Terese Cannon,USC,DI,67.81532187482863,3,2017-05-07
43,44,Katie Smith,South Carolina,DI,67.65258232333402,1,2017-04-22
44,45,Tea Juric,Tulane,DI,67.51766465878316,2,2017-04-29
45,46,Kaylie Mchugh,Tulane,DI,67.51766465878316,2,2017-04-29
46,47,Megan Rice,FAU,DI,67.40246596596252,1,2017-04-22
47,48,Nikki Taylor,Hawaii,DI,67.39774467161908,2,2017-05-06
48,49,Maggie Skjelbred,Stetson,DI,67.37177307374242,1,2017-04-23
49,50,Delaney Rohan,Georgia State,DI,67.27726996554175,1,2017-04-22
50,51,Tjasa Kotnik,Grand Canyon,DI,66.89945939969905,1,2017-04-15
51,52,Ka'iwi Schucht,Hawaii,DI,66.70276379491249,2,2017-05-06
52,53,Courtney Schwan,Washington,DI,66.64561420993456,2,2017-04-28
53,54,Elise Zappia,UCLA,DI,66.56665945391364,3,2017-04-28
54,55,Lan Nguyen,Tulane,DI,64.65022075324732,1,2017-04-29
55,56,Taija Thomas,FIU,DI,64.0263037916528,2,2017-04-23
56,57,Katie Hogan,FIU,DI,64.00581935265065,1,2017-04-23
57,58,Kamila Tan,UCLA,DI,63.921093573136076,2,2017-04-28
58,59,Oluoma Okaro,ASU,DI,63.58188657015873,2,2017-04-27
59,60,Madison Berridge,ASU,DI,63.58188657015873,2,2017-04-27
